번호,업체명,차종,차명,형식,사용연료,인증구분,"배출가스
인증번호","배출가스
인증일","1회충전주행거리(km)
상온 도심","1회충전주행거리(km)
상온 고속","1회충전주행거리(km)
상온 복합","1회충전주행거리(km)
저온 도심","1회충전주행거리(km)
저온 고속","1회충전주행거리(km)
저온 복합"
10,현대자동차(주),승용(소형),아이오닉 전기차,AE-EV-LE1-PTC,전기(EV),변경인증,GMY-HD-21-19,2018-02-12,217,179,200,141,171,154
11,현대자동차(주),승용(소형),아이오닉 전기차,AE-EV-LE1-HP,전기(EV),변경인증,GMY-HD-21-19,2018-02-12,217,179,200,141,171,154
12,현대자동차(주),승용(소형),코나 일렉트릭(기본형),OS-EV-LE1-DEC,전기(EV),신규인증,JMY-HD-21-20,2018-02-20,444,358.7,405.6,288.1,337.1,310.2
13,현대자동차(주),승용(소형),코나 일렉트릭(도심형),OS-EV-LE1UR-DEC,전기(EV),신규인증,JMY-HD-21-21,2018-02-20,281.7,220.6,254.2,173.4,206.9,188.4
14,현대자동차(주),승용(초대형),일렉시티,EC4820-A182P-S,전기(EV),변경인증,HMY-HD-21-51,2018-04-04,,,156.2,,,
13,(주)GS글로벌,승용(초대형),BYD eBus-12,K9DB,전기(EV),신규인증,JMY-BY-21-1,2018-04-09,,,,,,
15,그린모빌리티,이륜,DELI-D4,ETDD4-2.0,전기(EV),신규인증,JMY-GR-24-44,2018-05-14,36.5,,,26.4,,
12,(주)인에이블인터내셔널,이륜,NIU-NPRO,NIU-NPRO-K,전기(EV),신규인증,JMY-NI-24-1,2018-05-28,43.7,,,38.8,,
16,기아(주),승용(소형),니로 전기차_기본형(PTC),DE-EV-G7-DEC-STD,전기(EV),신규인증,JMY-KM-21-50,2018-06-01,415.2,347.9,385,280.3,332.6,303.8
11,(주)한국모터스,이륜,ECOOTER E1 PLUS,TDZ11701MZ,전기(EV),신규인증,JMY-KE-24-1,2018-06-28,47.2,,,34.6,,
17,기아(주),승용(소형),니로 전기차_기본형(PTC),DE-EV-G7-DEC-STD,전기(EV),변경인증,JMY-KM-21-50,2018-07-03,,,,,,
18,기아(주),승용(소형),니로 전기차_기본형(HP),DE-EV-G7-DEC-HP,전기(EV),변경인증,JMY-KM-21-50,2018-07-03,,,,,,
19,기아(주),승용(소형),니로 전기차_경제형,DE-EV-G7-DED-ECO,전기(EV),신규인증,JMY-KM-21-66,2018-07-05,271.2,219,247.7,172.7,205,187.2
20,(주)성지모터스,이륜,WIND-K2,WINDK-BL60DC,전기(EV),신규인증,JMY-SJ-24-70,2018-07-20,41.7,,,28.2,,
21,(주)성지모터스,이륜,WIND-K1,WINDK-IH60,전기(EV),신규인증,JMY-SJ-24-84,2018-09-21,68.8,,,52.6,,
28,한국닛산(주),승용(소형),LEAF,ZE1,전기(EV),신규인증,JMY-NK-21-5,2018-10-16,247,212,231,138,179,156
27,(주)GS글로벌,승용(초대형),BYD eBus-12,K9DC,전기(EV),신규인증,JMY-BY-21-2,2018-10-18,,,495.2,,,
24,테슬라코리아(유),승용(소형),Model X 100D,002,전기(EV),신규인증,JMY-TK-21-3,2018-10-22,464.4,471.5,467.6,327.9,425.8,371.9
25,테슬라코리아(유),승용(소형),Model X 100D,002,전기(EV),신규인증,JMY-TK-21-3,2018-10-22,464.4,471.5,467.6,327.9,425.8,371.9
26,테슬라코리아(유),승용(소형),Model X 100D,002,전기(EV),신규인증,JMY-TK-21-3,2018-10-22,464.4,471.5,467.6,327.9,425.8,371.9
23,(주)피라인모터스,승용(대형),HYPERS,KLQ6109GEV1,전기(EV),신규인증,JMY-PL-21-1,2018-11-06,,,262.8,,,
20,테슬라코리아(유),승용(소형),Model X P100D,002,전기(EV),신규인증,JMY-TK-21-4,2018-11-29,351.7,353.5,352.5,273.3,327.7,297.8
21,테슬라코리아(유),승용(소형),Model X P100D,2,전기(EV),신규인증,JMY-TK-21-4,2018-11-29,351.7,353.5,352.5,273.3,327.7,297.8
22,테슬라코리아(유),승용(소형),Model X P100D,002,전기(EV),신규인증,JMY-TK-21-4,2018-11-29,351.7,353.5,352.5,273.3,327.7,297.8
19,비바모빌리티(주),승용(대형),브이버스,BJ6111B12EV,전기(EV),신규인증,JMY-JJ-21-1,2018-12-05,,,244.7,,,
22,(주)지오산업,이륜,ZB-703,ZGM-3000B,전기(EV),신규인증,JMY-ZO-24-99,2018-12-07,73.6,,,52.6,,
16,테슬라코리아(유),승용(소형),Model X 75D,002,전기(EV),신규인증,JMY-TK-21-5,2018-12-18,348,347,348,244,313,275
17,테슬라코리아(유),승용(소형),Model X 75D,002,전기(EV),신규인증,JMY-TK-21-5,2018-12-18,348,347,348,244,313,275
18,테슬라코리아(유),승용(소형),Model X 75D,002,전기(EV),신규인증,JMY-TK-21-5,2018-12-18,348,347,348,244,313,275
15,(주)디피코,승용(대형),HU-SKY,HS85,전기(EV),신규인증,JMY-DP-21-1,2018-12-24,,,195,,,
23,자일대우버스(주),승용(대형),BS110CN,BS110CN-CLKZAN391B2,전기(EV),신규인증,KMY-DB-21-3,2019-01-02,,134.77,145.7,,,
24,기아(주),승용(소형),쏘울 전기차_기본형,SK3-EV-LE1-DEC,전기(EV),신규인증,KMY-KM-21-1,2019-01-02,429,338,388,244,300,269
25,기아(주),승용(소형),쏘울 전기차_도심형,SK3-EV-LE1UR-DEC,전기(EV),신규인증,KMY-KM-21-2,2019-01-02,283,218,254,163,195,178
47,(주)재규어랜드로버코리아,승용(소형),재규어 I-PACE EV400,DH,전기(EV),신규인증,KMY-JL-21-1,2019-01-04,340,325,333,205,253,227
46,BMW Korea,승용(소형),BMW i3 120Ah,8P21,전기(EV),신규인증,KMY-BK-21-3,2019-01-17,271,221,248,138,188,160
26,(주)시엔케이,이륜,트리오,CMS-T1,전기(EV),신규인증,KMY-CN-24-04,2019-01-17,69.5,,,50.8,,
45,(주)한신자동차,승용(대형),바네스,LCK6600EVGK,전기(EV),신규인증,KMY-HS-21-1,2019-02-12,,,184.3,,,
44,마스타전기차(주),화물(소형),EIDOLA,JY1320-ZLH-0-01,전기(EV),신규인증,KMY-ME-21-1,2019-02-13,27,25.3,26.2,26.1,21.3,23.9
42,디에스글로벌,이륜,동일차_1,,전기(EV),신규인증,KMY-DS-24-1,2019-03-04,37.4,,,27.5,,
43,디에스글로벌,이륜,T9,E-5000W,전기(EV),신규인증,KMY-DS-24-1,2019-03-04,37.4,,,27.5,,
41,(주)평안모터스,이륜,스마일,이륜자동차,전기(EV),신규인증,KMY-PM-24-1,2019-03-11,31.2,,,18.3,,
27,현대자동차(주),승용(소형),아이오닉 전기차,AE-EV-LE1-HP,전기(EV),변경인증,GMY-HD-21-19,2019-04-02,300,249,277,177,220,196
28,현대자동차(주),승용(소형),아이오닉 전기차,AE-EV-LE1-PTC,전기(EV),변경인증,GMY-HD-21-19,2019-04-02,300,249,277,177,220,196
38,북경모터스(주),승용(대형),그린타운850,BJ6852B11EV,전기(EV),신규인증,KMY-BM-21-1,2019-04-09,,,194.4,,,
39,(주)코터스,이륜,비틀,EVR-19851,전기(EV),신규인증,KMY-KT-24-1,2019-04-09,51.6,,,39.7,,
40,(주)코터스,이륜,오디가,EVS-57811,전기(EV),신규인증,KMY-KT-24-2,2019-04-09,52,,,38.7,,
29,(주)대풍이브이자동차(EV),이륜,나이스이브이3L,,전기(EV),신규인증,KMY-DP-24-16,2019-04-22,64.5,,,48.7,,
30,(주)대풍이브이자동차(EV),이륜,동일차_1,,전기(EV),신규인증,KMY-DP-24-16,2019-04-22,64.5,,,48.7,,
31,(주)스마트솔루션즈,화물(소형),D2C,D2C12,전기(EV),신규인증,KMY-SS-21-18,2019-04-30,51.1,47.2,49.3,50.2,48.6,49.5
32,(주)대창모터스,화물(소형),다니고 3,DANIGO 3,전기(EV),신규인증,KMY-DC-21-19,2019-05-01,92.3,71.7,83,72.9,72.6,72.8
37,이오모터스(주),이륜,BWS WIZ,TDR668Z,전기(EV),신규인증,KMY-GS-24-1,2019-05-07,64.8,,,49.5,,
36,범한자동차(주),승용(대형),E-SKY,DD6119EVE,전기(EV),신규인증,KMY-SG-21-1,2019-05-14,,,366.7,,,
33,현대자동차(주),승용(초대형),일렉시티 굴절버스,ECD8445-A19-S,전기(EV),신규인증,KMY-HD-21-23,2019-05-16,,,234.1,,,
34,현대자동차(주),승용(초대형),일렉시티 굴절버스,ECD8445-A20-S,전기(EV),신규인증,KMY-HD-21-23,2019-05-16,,,234.1,,,
35,현대자동차(주),승용(초대형),일렉시티 굴절버스,ECD7647-A18-S,전기(EV),신규인증,KMY-HD-21-23,2019-05-16,,,234.1,,,
36,(주)스마트솔루션즈,화물(소형),D2C,D2C12,전기(EV),변경인증,KMY-SS-21-18,2019-05-27,,,,,,
33,(주)시엔케이,이륜,TRIO,SY-T1,전기(EV),신규인증,KMY-CN-24-1,2019-05-28,78.1,,,57.5,,
34,(주)핸디라이프,이륜,SUPER SOCO TC1,TC1,전기(EV),신규인증,KMY-FB-24-1,2019-05-28,45.7,,,35.7,,
35,에스에이피(주),승용(초대형),VoltOn,NJL6117BEV,전기(EV),신규인증,KMY-SA-21-1,2019-05-28,,,381.5,,,
37,(주)우진산전,승용(초대형),아폴로 1100 전기버스,WJEB-11CTLP,전기(EV),변경인증,HMY-WJ-21-38,2019-06-05,,,,,,
32,(주)쎄보모빌리티,경자동차,CEVO-C,CE2P,전기(EV),신규인증,KMY-CA-21-1,2019-06-25,66.7,57,62.3,70.4,67.4,69.1
29,이오모터스(주),이륜,BONO,TDR16Z,전기(EV),신규인증,KMY-GS-24-2,2019-06-26,73.7,,,60.8,,
30,(주)피라인모터스,승용(대형),HYPERS H,KLQ6119GEV,전기(EV),신규인증,KMY-PL-21-1,2019-06-26,,,259.9,,,
31,닷스테이션(주),이륜,gogoro2 utility,G2U,전기(EV),신규인증,KMY-TI-24-1,2019-06-26,60.5,,,39.8,,
72,테슬라코리아(유),승용(소형),Model S Long Range,002,전기(EV),변경인증,HMY-TK-21-1,2019-07-01,358.609,454.624,486.999,358.609,454.624,401.816
73,테슬라코리아(유),승용(소형),Model S Standard Range,002,전기(EV),변경인증,HMY-TK-21-2,2019-07-01,379.983,352.428,367.583,281.617,347.328,311.187
74,테슬라코리아(유),승용(소형),Model S Performance,002,전기(EV),변경인증,HMY-TK-21-3,2019-07-01,695.622,673.346,685.597,486.935,471.342,427.674
75,케이알모터스(주),이륜,이델리로드,HF-20EN,전기(EV),신규인증,KMY-KR-24-1,2019-07-01,54.6,,,42.5,,
38,(주)파워프라자,화물(중형),파워프라자 봉고3ev PEACE,PP EV-2,전기(EV),신규인증,KMY-PP-21-40,2019-07-02,89,88.2,88.6,95.9,101.1,98.2
70,(주)GS글로벌,승용(대형),BYD eBus-9,K7DB,전기(EV),신규인증,KMY-BY-21-1,2019-07-10,,,221.5,,,
71,(주)더좋은사람,이륜,c40,c-7240,전기(EV),신규인증,KMY-GP-24-1,2019-07-10,73.5,,,59.8,,
61,테슬라코리아(유),승용(소형),Model X Long Range,002,전기(EV),변경인증,JMY-TK-21-3,2019-07-12,448.675,424.847,437.952,284.169,382.323,328.338
62,테슬라코리아(유),승용(소형),Model X Long Range,002,전기(EV),변경인증,JMY-TK-21-3,2019-07-12,448.675,424.847,437.952,284.169,382.323,328.338
63,테슬라코리아(유),승용(소형),Model X Long Range,002,전기(EV),변경인증,JMY-TK-21-3,2019-07-12,448.675,424.847,437.952,284.169,382.323,328.338
64,테슬라코리아(유),승용(소형),Model X Performance,002,전기(EV),변경인증,JMY-TK-21-4,2019-07-12,425.417,416.314,421.32,294.067,397.723,340.712
65,테슬라코리아(유),승용(소형),Model X Performance,002,전기(EV),변경인증,JMY-TK-21-4,2019-07-12,425.417,416.314,421.32,294.067,397.723,340.712
66,테슬라코리아(유),승용(소형),Model X Performance,002,전기(EV),변경인증,JMY-TK-21-4,2019-07-12,425.417,416.314,421.32,294.067,397.723,340.712
67,테슬라코리아(유),승용(소형),Model X Standard Range,002,전기(EV),변경인증,JMY-TK-21-5,2019-07-12,337.239,306.629,323.464,227.007,290.238,255.461
68,테슬라코리아(유),승용(소형),Model X Standard Range,002,전기(EV),변경인증,JMY-TK-21-5,2019-07-12,337.239,306.629,323.464,227.007,290.238,255.461
69,테슬라코리아(유),승용(소형),Model X Standard Range,002,전기(EV),변경인증,JMY-TK-21-5,2019-07-12,337.239,306.629,323.464,227.007,290.238,255.461
39,자일대우버스(주),승용(초대형),FX120,FX120EV-GPKSAN401S,전기(EV),신규인증,KMY-DB-21-47,2019-07-17,,,228.1,,,
40,케이지모빌리티커머셜(주),승용(초대형),이-화이버드,EB411-EV,전기(EV),신규인증,KMY-ED-21-51,2019-07-29,,,378,,,
41,(주)우진산전,승용(초대형),아폴로1100전기버스,WJEB-11CTLP,전기(EV),신규인증,KMY-WJ-21-52,2019-07-31,,,300.2,,,
60,한국지엠(주),승용(소형),볼트 EV,F76E0,전기(EV),신규인증,KMY-GD-21-1,2019-08-06,455,363,414,240,314,273
59,(주)코리아에어카고에이젠시,화물(중형),LSEV,Z08,전기(EV),신규인증,KMY-KE-21-1,2019-08-07,118.9,109.9,114.9,98.2,100.9,99.4
58,메르세데스벤츠코리아(주),승용(소형),벤츠 EQC 400 4MATIC,293 890,전기(EV),신규인증,KMY-MK-21-1,2019-08-09,316.7,299.4,308.9,141.1,209.1,171.7
54,테슬라코리아(유),승용(소형),Model 3 Performance,003,전기(EV),신규인증,KMY-TK-21-1,2019-08-20,428.6,398,414.8,208.5,302.6,250.8
55,테슬라코리아(유),승용(소형),Model 3 Standard Range Plus RWD,003,전기(EV),신규인증,KMY-TK-21-2,2019-08-20,372.6,327.2,352.1,177.2,256.5,212.9
56,테슬라코리아(유),승용(소형),Model 3 Long Range,003,전기(EV),신규인증,KMY-TK-21-3,2019-08-20,458.7,430.7,446.1,220.7,337.2,273.1
57,테슬라코리아(유),승용(소형),Model 3 Long Range RWD,003,전기(EV),신규인증,KMY-TK-21-4,2019-08-20,503.3,478.3,492.1,441.3,511.1,472.7
53,(주)코터스,이륜,M6,EVS-9161,전기(EV),신규인증,KMY-KT-24-3,2019-08-21,23.1,,,16.2,,
42,(주)시엔케이,이륜,DUO-Alpha,CMS-1,전기(EV),신규인증,KMY-CN-21-67,2019-09-18,44,,,35.5,,
43,르노코리아(주),경자동차,TWIZY,K1J05-2Z,전기(EV),신규인증,KMY-SM-21-46,2019-09-25,84.1,66.8,76.3,83.8,66.6,76.1
44,르노코리아(주),경자동차,TWIZY,K1J05-1Z,전기(EV),신규인증,KMY-SM-21-46,2019-09-25,84.1,66.8,76.3,83.8,66.6,76.1
45,현대자동차(주),승용(소형),코나 일렉트릭(기본형),OS-EV-LE1-DEC,전기(EV),변경인증,JMY-HD-21-20,2019-10-01,,,,363,369,366
46,현대자동차(주),승용(소형),코나 일렉트릭(기본형),OS-EV-LE1-DEC-HP,전기(EV),변경인증,JMY-HD-21-20,2019-10-01,,,,363,369,366
52,(주)피라인모터스,승용(대형),HYPERS11L,KLQ6119GEV1,전기(EV),신규인증,KMY-PL-21-2,2019-10-21,,,226.2,,,
51,비바모빌리티(주),승용(대형),브이버스110,BJ6111B13EV,전기(EV),신규인증,KMY-JJ-21-1,2019-11-12,,,272.1,,,
47,현대자동차(주),화물(중형),포터 일렉트릭,HR-EV-G7-2WD,전기(EV),신규인증,KMY-HD-21-75,2019-11-12,251,182,220,168,179,173
48,기아(주),화물(중형),봉고 전기차,PU-EV-G7-2WD,전기(EV),신규인증,KMY-KM-21-76,2019-11-12,251,183,220,165,180,172
49,(주)GS글로벌,승용(대형),BYD eBus-9,K7DA,전기(EV),신규인증,KMY-BY-21-2,2019-12-03,,,250.1,,,
50,르노코리아(주),승용(소형),ZOE,M4L35-5Z,전기(EV),신규인증,KMY-RN-21-3,2019-12-03,377,275,331,198,236,215
48,(주)인에이블인터내셔널,이륜,NIU-NCARGO,NIU-NCARGO-K,전기(EV),신규인증,KMY-NI-24-1,2019-12-18,77.3,,,53.9,,
49,현대자동차(주),승용(대형),카운티 일렉트릭,ECS321-20E6P-CH,전기(EV),신규인증,KMY-HD-21-89,2019-12-24,,,250,,,
50,현대자동차(주),승용(대형),카운티 일렉트릭,ECS141-20E6P-C,전기(EV),신규인증,KMY-HD-21-89,2019-12-24,,,250,,,
51,현대자동차(주),승용(대형),카운티 일렉트릭,ECS281-20L3P-CH,전기(EV),신규인증,KMY-HD-21-89,2019-12-24,,,250,,,
52,현대자동차(주),승용(대형),카운티 일렉트릭,ECS141-20L3P-C,전기(EV),신규인증,KMY-HD-21-89,2019-12-24,,,250,,,
102,혼다코리아(주),이륜,EVN4,EF10,전기(EV),신규인증,LMY-HK-24-1,2020-01-09,38.3,,,26.2,,
53,(주)씨엠파트너,이륜,SUNBIKE3,SB-001,전기(EV),신규인증,LMY-CM-21-14,2020-02-24,101.5,,,66.7,,
101,(주)코리아하이테크,이륜,H1,DJ3,전기(EV),신규인증,LMY-HL-24-1,2020-02-27,59.4,,,47.4,,
100,폭스바겐그룹코리아(주),승용(소형),e-tron 55 quattro,GE,전기(EV),신규인증,LMY-AD-21-1,2020-03-04,308,306,307,205,292,244
54,자일대우버스(주),승용(초대형),BS110CN,BS110EV(249)-CLLZAN451S,전기(EV),신규인증,LMY-DB-21-21,2020-03-09,,,294.69,,,
99,스텔란티스코리아(주),승용(소형),PEUGEOT e-208,UHZKXZ,전기(EV),신규인증,LMY-HB-21-1,2020-03-10,263,220,244,215,214,215
98,범한자동차(주),승용(대형),이스카이 투,DD6119EVE2,전기(EV),신규인증,LMY-SG-21-1,2020-03-13,,,234.2,,,
97,(주)이벡터,이륜,머큐리,X5,전기(EV),신규인증,LMY-ET-24-1,2020-03-18,40.6,,,35.9,,
96,비바모빌리티(주),승용(대형),브이버스60,BJ5040XSWCJ04EV,전기(EV),신규인증,LMY-JJ-21-1,2020-03-26,,,258.1,,,
95,(주)티에스에코에너지,승용(초대형),일레누스(ELENUUS),TS1100,전기(EV),신규인증,LMY-TS-21-1,2020-03-30,,,299,,,
94,착한바이크아울렛,이륜,PH-DA2,PH-DA2000,전기(EV),신규인증,LMY-GB-24-1,2020-04-01,96.6,,,80.6,,
55,그린모빌리티,이륜,GXT-CITY,EBWC-1.0,전기(EV),신규인증,LMY-GR-21-24,2020-04-01,45.7,,,32.6,,
93,(주)킹롱이브이코리아,승용(초대형),시티라이트,XMQ6106AGWE,전기(EV),신규인증,LMY-EO-21-1,2020-04-02,,,260.9,,,
56,(주)엠비아이,이륜,엠비아이-브이,MBIV-4500,전기(EV),신규인증,LMY-MB-21-25,2020-04-02,45.6,,,33.5,,
92,르노코리아(주),승용(소형),ZOE,M4L35-5Z,전기(EV),변경인증,KMY-RN-21-3,2020-04-03,342.5,267.8,309,222.7,253.2,236
90,한국닛산(주),승용(소형),LEAF,ZE1,전기(EV),변경인증,JMY-NK-21-5,2020-04-10,260,216,240,138,178,156
91,한국닛산(주),승용(소형),LEAF,ZE1,전기(EV),변경인증,JMY-NK-21-5,2020-04-10,260,216,240,138,178,156
88,메르세데스벤츠코리아(주),승용(소형),벤츠 EQC 400 4MATIC,293 890,전기(EV),변경인증,KMY-MK-21-1,2020-04-16,318.4,296.7,308.7,245.6,301.4,270.7
89,디앤에이모터스(주),이륜,EM-1,DXL,전기(EV),신규인증,LMY-DL-24-1,2020-04-16,60.6,,,49.7,,
87,유한회사 이벡터,이륜,주노,S11,전기(EV),신규인증,LMY-ET-24-2,2020-04-20,48.8,,,40.8,,
57,현대자동차(주),승용(대형),카운티 일렉트릭,ECS312-21E6P-CH,전기(EV),신규인증,LMY-HD-21-28,2020-04-22,,,250,,,
85,유한회사 이벡터,이륜,주피터,S5,전기(EV),신규인증,LMY-ET-24-3,2020-04-29,46.5,,,39.1,,
86,유한회사 이벡터,이륜,아폴로,X1,전기(EV),신규인증,LMY-ET-24-3,2020-04-29,46.5,,,39.1,,
83,스텔란티스코리아(주),승용(소형),DS3 CROSSBACK E-TENSE,UJZKXZ,전기(EV),신규인증,LMY-HB-21-2,2020-05-01,259,211,237,180,195,187
84,스텔란티스코리아(주),승용(소형),Peugeot e-2008 SUV,UKZKXZ,전기(EV),신규인증,LMY-HB-21-2,2020-05-01,259,211,237,180,195,187
82,가브리엘,이륜,엠6,ES1,전기(EV),신규인증,LMY-HH-24-1,2020-05-20,61.3,,,51.6,,
81,가브리엘,이륜,에이치6,SS77,전기(EV),신규인증,LMY-HH-24-2,2020-05-27,51.4,,,47.5,,
58,현대자동차(주),화물(중형),포터 일렉트릭 파워게이트,HR-EV-G7A-2WD-NP,전기(EV),신규인증,LMY-HD-21-34,2020-05-27,204,148,179,145,155,150
59,현대자동차(주),화물(중형),포터 일렉트릭 내장탑차,HR-EV-G7A-2WD-ND,전기(EV),신규인증,LMY-HD-21-34,2020-05-27,204,148,179,145,155,150
60,현대자동차(주),화물(중형),포터 일렉트릭 특장차,HR-EV-G7A-2WD-NW,전기(EV),신규인증,LMY-HD-21-34,2020-05-27,204,148,179,145,155,150
61,기아(주),화물(중형),봉고 전기차 파워게이트 2단 알루미늄,PU-EV-G7A-2WD-APGT-2-BC,전기(EV),신규인증,LMY-KM-21-35,2020-05-27,211,145,181,158,145,152
62,기아(주),화물(중형),봉고 전기차 저상형 내장차,PU-EV-G7A-2WD-LDVSS,전기(EV),신규인증,LMY-KM-21-35,2020-05-27,211,145,181,158,145,152
63,기아(주),화물(중형),봉고 전기차 내장차,PU-EV-G7A-2WD-DVSS,전기(EV),신규인증,LMY-KM-21-35,2020-05-27,211,145,181,158,145,152
64,기아(주),화물(중형),봉고 전기차 특장차,PU-EV-G7A-2WD-WBP,전기(EV),신규인증,LMY-KM-21-35,2020-05-27,211,145,181,158,145,152
79,(주)포도모빌리티,이륜,ECOOTER E2,TDU11907MZ2,전기(EV),신규인증,LMY-JW-24-1,2020-05-28,63.3,,,47.5,,
80,(주)티에스에코에너지,승용(대형),일레누스(ELENUUS),TS1100-1,전기(EV),신규인증,LMY-TS-21-2,2020-05-28,,,351.4,,,
65,(주)스마트솔루션즈,화물(소형),D2C,D2C13,전기(EV),변경인증,KMY-SS-21-18,2020-06-05,97.8,73.2,86.7,72.2,75.6,73.7
66,그린모빌리티,이륜,JANGBORI,ETDJ-1.0,전기(EV),신규인증,LMY-GR-21-38,2020-06-16,45.3,,,40.9,,
78,(주)한신자동차,화물(대형),플러스,SC1051UFW63BEV,전기(EV),신규인증,LMY-HS-21-1,2020-06-17,,,227.2,,,
67,(주)디피코,화물(소형),포트로,HMT-101,전기(EV),신규인증,LMY-DE-21-40,2020-06-22,65.3,25.6,47.4,46.4,44.4,45.5
68,(주)디피코,화물(소형),동일차_1,,전기(EV),신규인증,LMY-DE-21-40,2020-06-22,65.3,25.6,47.4,46.4,44.4,45.5
69,그린모빌리티,이륜,VALENCIA-II,ESR-4.0,전기(EV),신규인증,LMY-GR-21-39,2020-06-22,54.7,,,46.6,,
76,디앤에이모터스(주),이륜,EG300N,DJK,전기(EV),신규인증,LMY-DL-24-2,2020-06-23,58.4,,,49.6,,
77,디앤에이모터스(주),이륜,EG300N,DJK,전기(EV),신규인증,LMY-DL-24-2,2020-06-23,58.4,,,49.6,,
70,(주)우진산전,승용(대형),아폴로 900 전기버스,WJEB-09CTLP-02,전기(EV),신규인증,LMY-WJ-21-42,2020-07-07,,,222.4,,,
71,(주)우진산전,승용(대형),아폴로 750 전기버스,WJEB-07CTLP-02,전기(EV),신규인증,LMY-WJ-21-43,2020-07-07,,,293.6,,,
72,(주)우진산전,승용(초대형),아폴로 1100 전기버스,WJEB-11CTLP-02,전기(EV),신규인증,LMY-WJ-21-44,2020-07-07,,,333.5,,,
73,(주)우진산전,승용(초대형),아폴로 1100 전기버스,WJEB-11CTLP-03,전기(EV),신규인증,LMY-WJ-21-45,2020-07-07,,,302.3,,,
74,케이지모빌리티커머셜(주),승용(초대형),이-스마트,EB301-EV,전기(EV),신규인증,LMY-ED-21-16,2020-07-09,,,248.2,,,
75,케이지모빌리티커머셜(주),승용(초대형),이-스마트,EB301-EV,전기(EV),신규인증,LMY-ED-21-16,2020-07-09,,,248.2,,,
76,명원아이앤씨(주),이륜,동일차_1,,전기(EV),신규인증,LMY-MW-21-53,2020-07-09,108.7,,,83.5,,
77,명원아이앤씨(주),이륜,동일차_2,,전기(EV),신규인증,LMY-MW-21-53,2020-07-09,108.7,,,83.5,,
78,명원아이앤씨(주),이륜,플레타,DC,전기(EV),신규인증,LMY-MW-21-53,2020-07-09,108.7,,,83.5,,
