총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
경기,동두천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","35
 (4)
 (0)
 (0)
 (31)",35,4,0,0,31,"67
 (3)
 (6)
 (0)
 (58)",67,3,6,0,58,0,0,"59
 (2)
 (6)
 (0)
 (51)",59,"0
 (2)
 (0)
 (0)
 (0)","○ 보조금 출고·등록순 지원 (접수순 아님)
○ 자격부여 시 부여된 출고기한을 경과하여도 취소하지 아니함
○ 자격부여 후 &apos;지원가능확인&apos; 요청순으로 대상자 확정 (출고 10일, 지급신청 20일 기한 필히 준수)

○ 2021.07.01.부터 법인, 중소기업 대상 잔여불량 일반물량으로 통합운용
○ 2021.08.01.부터 우선순위 대상 잔여물량 일반물량으로 통합운용
○ 통합운용 개시 이전 법인, 중소기업, 우선순위 유형으로 신청하여 자격부여 받은 건은 &apos;21.11.30.까지 배정 보전함

○ 전기승용차 23대 물량 증액 예정(추가경정예산) / 본예산 물량 초과하여도 신청가능"
경기,안산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","516
 (5)
 (234)
 (0)
 (277)",516,5,234,0,277,"579
 (5)
 (287)
 (0)
 (287)",579,5,287,0,287,0,0,"525
 (5)
 (236)
 (0)
 (284)",525,"0
 (0)
 (0)
 (0)
 (0)","※ 전기승용차 대상자 선정 완료(단, 취소 건 발생 시 마다 대상자 선정 안내문자 발송 예정)"
경기,고양시,전기승용,"*일반: 접수순
*우선: 접수순","907
 (91)
 (363)
 (0)
 (453)",907,91,363,0,453,"925
 (94)
 (393)
 (0)
 (438)",925,94,393,0,438,0,15,"925
 (94)
 (393)
 (0)
 (438)",925,"0
 (0)
 (0)
 (0)
 (15)",전기승용차 보급사업 마감되었습니다.
경기,과천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","90
 (0)
 (0)
 (0)
 (90)",90,0,0,0,90,"91
 (6)
 (0)
 (0)
 (85)",91,6,0,0,85,0,5,"91
 (6)
 (0)
 (0)
 (85)",91,"0
 (0)
 (0)
 (0)
 (5)","※ 전기승용 예산 마감되었습니다.
(취소물량 발생시 향후 재접수 예정)"
경기,구리시,전기승용,"*일반: 접수순
*우선: 접수순","130
 (11)
 (45)
 (0)
 (74)",130,11,45,0,74,"134
 (5)
 (8)
 (0)
 (121)",134,5,8,0,121,0,0,"124
 (5)
 (8)
 (0)
 (111)",124,"6
 (6)
 (37)
 (0)
 (0)","전기승용차 추가보급 

○ 접수기간 : 2021. 9. 27. ~ 예산 소진시까지 
○ 보급대수 : 24대(일반 18, 우선순위 6) 
 ※ 우선순위 물량은 10월1일부터 일반 물량과 통합하여 집행함.
○ 보급차종 : 전기차 보조금 지원 대상 차종  
○ 신청대상 
 - 신청일 이전 3개월 이상 구리시에 주소를 둔 만 18세 이상 시민 
 - 구리시 내 사업장이 위치한 법인, 기관, 공공기관 등
 ※ 기타 자세한 내용 공고문 참조"
경기,남양주시,전기승용,"*일반: 접수순
*우선: 접수순","440
 (44)
 (176)
 (0)
 (220)",440,44,176,0,220,"486
 (45)
 (72)
 (0)
 (369)",486,45,72,0,369,0,0,"437
 (44)
 (68)
 (0)
 (325)",437,"3
 (0)
 (108)
 (0)
 (0)","○ 신청기간 : 2021. 3. 2.(화) 10:00 ∼ 예산 소진 시 까지 
○ 보급규모 
- 전기승용차 440대(일반 220대, 우선 44대, 법인·기관 176대) - 일반마감
- 전기화물차 190대(일반 152대, 우선 19대, 중소기업생산물량 19대) - 일반마감
※ 보조금 차등지급에 따라 보급물량은 별도 추가공고 없이 변동될 수 있음 
※ 승용 법인·기관 물량 및 화물 중소기업 생산물량 중 6월말까지 중 집행되지 않은 물량은 7월부터 일반물량에 통합(7월 전까지 대기자로 신청 가능)
○ 선정방법 : 구매지원 신청서 접수순"
경기,오산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","179
 (20)
 (48)
 (0)
 (111)",179,20,48,0,111,"154
 (14)
 (26)
 (0)
 (114)",154,14,26,0,114,25,0,"146
 (13)
 (26)
 (0)
 (107)",146,"33
 (7)
 (22)
 (0)
 (4)","추경 2차 전기승용 보조금 모두 소진되었습니다. 

전기차 보조금 지급금액이 차량별로 다르기때문에 사이트내의 잔여대수와 상이할수있습니다.
자세한 문의사항은 오산시 환경과로 연락 부탁드립니다."
경기,시흥시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","150
 (10)
 (40)
 (0)
 (100)",150,10,40,0,100,"197
 (11)
 (35)
 (0)
 (151)",197,11,35,0,151,0,0,"163
 (11)
 (26)
 (0)
 (126)",163,"0
 (0)
 (14)
 (0)
 (0)",2021년 시흥시 전기자동차(승용) 민간 보급사업 공고 접수 마감 및 잔여물량 소진되었습니다.
경기,군포시,전기승용,"*일반: 접수순
*우선: 접수순","162
 (17)
 (22)
 (0)
 (123)",162,17,22,0,123,"183
 (30)
 (21)
 (1)
 (131)",183,30,21,1,131,0,0,"183
 (30)
 (21)
 (1)
 (131)",183,"0
 (0)
 (1)
 (0)
 (0)",- 전기 승용 마감되었습니다. 신청취소자 등 발생 시 대기순으로 연락드릴 예정입니다.
경기,의왕시,전기승용,"*일반: 접수순
*우선: 접수순","153
 (11)
 (18)
 (0)
 (124)",153,11,18,0,124,"160
 (11)
 (18)
 (0)
 (131)",160,11,18,0,131,0,0,"160
 (11)
 (18)
 (0)
 (131)",160,"0
 (0)
 (0)
 (0)
 (0)","2021. 2. 22.(월) 10:00 접수 시작
-전기승용차: 일반 72대, 우선순위 15대, 법인ㆍ기관 60대
 전기화물차: 일반 71대, 우선순위 9대, 중소기관 생산제품 9대
- 지원절차: [지원신청서 접수] → [자격부여] → [지원가능확인요청] → [대상자 선정] → [차량 출고및 등록, 보조금 지급신청] → [보조금 지급]
 ※ 대상자 선정은 지원가능확인요청(출고10일이내) 순으로 선정되며, 기한 내 출고가 안될시 대상자 선정이 취소 될 수 있음
-------------------------------------------------------------------------------------------------------------------
[2차공고 변경사항]: 법인ㆍ기관물량, 중소기업 생산제품 물량 일반물량과 통합
2021. 8. 2.(월) 09:00 접수 시작
-전기승용차: 일반 132대, 우선순위 15대
 전기화물차: 일반 80대, 우선순위 9대
- 지원절차: [지원신청서 접수] → [자격부여] → [지원가능확인요청] → [대상자 선정] → [차량 출고및 등록, 보조금 지급신청] → [보조금 지급]
 ※ 대상자 선정은 지원가능확인요청(출고10일이내) 순으로 선정되며, 기한 내 출고가 안될시 대상자 선정이 취소 될 수 있음
 ※ 출고 당일 지원가능 확인 요청시 대상자 선정이 안될 수 있음
-------------------------------------------------------------------------------------------------------------------
[2021. 9. 1. 3차공고 변경사항]:  &apos;21.8.31. 이전 접수된 우선순위 신청을 제외한 물량을 일반물량과 통합 집행

-예산 마감임박에 따라 지원가능확인 요청 순서에 따라 대상자 선정 진행
-출고ㆍ등록기한 미준수시 대상자 선정 취소
-대상자 선정 마감시 접수신청 마감
-기 접수된 물량에 한하여 취소물량 발생시 지원가능확인 요청순서에 따라 배정
-------------------------------------------------------------------------------------------------------------------
2021. 9. 3. 12:00, 신규접수 마감하였습니다.
일반ㆍ법인 대상자 선정 마감, 대상자 선정 취소물량은 지원가능확인요청 순으로 안내 예정입니다.
&apos;21.8.31.이전 접수된 우선순위 물량만 정상 진행 가능합니다.
-------------------------------------------------------------------------------------------------------------------
2021년 전기자동차 보급사업 4차공고
추가 보급대수: 10대(국비 800만원 기준)
접수기간: 2021. 10. 14.(목) 09:00 ~ 예산 소진 시
선정기준: 접수 순
 - 저공해차 구매보조금 지원시스템으로 지원신청서를 접수한 순으로 대상자 선정
 - 2021.11.30.(화) 이내 출고 가능한 차량만 지원
-------------------------------------------------------------------------------------------------------------------
2021. 10. 14.(목) 09:05 접수 마감
-------------------------------------------------------------------------------------------------------------------
(긴급) 전기자동차(승용) 구매 지원사업 5차 공고
- 접수대수: 3대
- 접수기간: 2021. 12. 8(수) 09:00
- 선정기준: 접수순
-------------------------------------------------------------------------------------------------------------------
5차 공고 대상자 선정이 마감되었습니다."
경기,하남시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","295
 (20)
 (7)
 (0)
 (268)",295,20,7,0,268,"471
 (31)
 (25)
 (0)
 (415)",471,31,25,0,415,0,0,"404
 (31)
 (19)
 (0)
 (354)",404,"0
 (0)
 (0)
 (0)
 (0)",하남시 전기자동차 보급사업 지원 신청 마감했습니다
경기,용인시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1230
 (89)
 (491)
 (0)
 (650)",1230,89,491,0,650,"1373
 (87)
 (486)
 (0)
 (800)",1373,87,486,0,800,0,0,"1265
 (87)
 (486)
 (0)
 (692)",1265,"0
 (2)
 (5)
 (0)
 (0)","!!!!신청인원 초과로 인해 일반 전환물량 마감 알림 ( 21.8.19.(목) 18:00까지 신청접수)!!!!!

[2021년도 전기자동차(승용) 민간 보급사업 변경 공고 안내]-8/19일 18:00까지만 접수 가능
○ 승용(우선순위) 잔여 물량 통합 운영 
 : 우선순위 잔여대수를 일반물량으로 전환하여 접수 예정
 - 수정공고 예정 : 2021.8.12.(목)
 - 접수일 : 2021.8.19.(목) 10:00~ 8..19.(목) 18:00 ★접수 마감 주의
★현재 자격부여 건수 많으므로 8.19.(목) 10:00부터 출고등록순(지원가능확인 요청순)으로 대상자 확정 예정"
경기,파주시,전기승용,"*일반: 접수순
*우선: 접수순","466
 (50)
 (200)
 (0)
 (216)",466,50,200,0,216,"417
 (17)
 (56)
 (0)
 (344)",417,17,56,0,344,49,0,"417
 (17)
 (56)
 (0)
 (344)",417,"49
 (33)
 (144)
 (0)
 (0)",○ 승용 마감(10.22)
경기,이천시,전기승용,"*일반: 접수순
*우선: 접수순","133
 (14)
 (54)
 (0)
 (65)",133,14,54,0,65,"177
 (16)
 (30)
 (0)
 (131)",177,16,30,0,131,0,0,"175
 (16)
 (30)
 (0)
 (129)",175,"0
 (0)
 (24)
 (0)
 (0)",※ 전기승용 예산 마감(취소물량을 대비하여 접수는 가능)
경기,안성시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","104
 (0)
 (0)
 (0)
 (104)",104,0,0,0,104,"109
 (4)
 (22)
 (0)
 (83)",109,4,22,0,83,0,21,"109
 (4)
 (22)
 (0)
 (83)",109,"0
 (0)
 (0)
 (0)
 (21)",전기자동차(승용) 대상자 선정 마감
경기,김포시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","640
 (0)
 (0)
 (0)
 (640)",640,0,0,0,640,"688
 (38)
 (125)
 (0)
 (525)",688,38,125,0,525,0,115,"674
 (38)
 (124)
 (0)
 (512)",674,"0
 (0)
 (0)
 (0)
 (128)",○ 전기승용차 마감 되었습니다.
경기,화성시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","582
 (59)
 (84)
 (0)
 (439)",582,59,84,0,439,"584
 (59)
 (145)
 (0)
 (380)",584,59,145,0,380,0,59,"584
 (59)
 (145)
 (0)
 (380)",584,"0
 (0)
 (0)
 (0)
 (59)",전기승용차 보급사업 3차 대상자 선정 완료되었습니다. 접수 마감되었습니다.
경기,광주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","332
 (0)
 (0)
 (0)
 (332)",332,0,0,0,332,"404
 (17)
 (34)
 (0)
 (353)",404,17,34,0,353,0,0,"349
 (13)
 (27)
 (0)
 (309)",349,"0
 (0)
 (0)
 (0)
 (23)","추경
○ 신청기간 : 2021. 10. 12.(화) 9시 ~ 2021. 11. 30.(화) 또는 예산 소진 시까지
○ 보급대수 : 전기승용차332대, 전기화물차30대(예산 범위 내에서 변동가능)
○ 신청 대상 : ①공고일 이전 우리시에 주소를 두거나 ②공고일 이후 주소를 이전하여 3개월이 경과된 개인, 법인, 공공기관 등
○ 보조금 지원대상자 선정 통보 : 출고 등록순

※ 세부사항은 공고문 참조"
경기,양주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","190
 (0)
 (0)
 (0)
 (190)",190,0,0,0,190,"243
 (20)
 (50)
 (0)
 (173)",243,20,50,0,173,0,17,"190
 (19)
 (43)
 (0)
 (128)",190,"0
 (0)
 (0)
 (0)
 (62)",○ 전기승용차 마감 되었습니다.
경기,포천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","72
 (8)
 (30)
 (0)
 (34)",72,8,30,0,34,"93
 (2)
 (12)
 (0)
 (79)",93,2,12,0,79,0,0,"72
 (2)
 (8)
 (0)
 (62)",72,"0
 (6)
 (22)
 (0)
 (0)","○전기승용차 : 73대(일반 35, 법인,기관 30, 우선 8)
○전기화물차 : 44대(일반 34, 중소기업생산제품 5, 우선 5)
○전기자동차 (화물) 예산마감
○전기승용차 대상자확정 완료되었으며, 취소물량을 대비하여 접수는 가능하며 취소물량은 지원가능확인요청 순으로 대상자 선정 예정입니다.
○전기자동차 승용 마감되었습니다"
경기,여주시,전기승용,"*일반: 접수순
*우선: 접수순","104
 (0)
 (0)
 (0)
 (104)",104,0,0,0,104,"104
 (1)
 (13)
 (0)
 (90)",104,1,13,0,90,0,14,"104
 (1)
 (13)
 (0)
 (90)",104,"0
 (0)
 (0)
 (0)
 (14)",
경기,연천군,전기승용,"*일반: 접수순
*우선: 접수순","63
 (6)
 (23)
 (0)
 (34)",63,6,23,0,34,"51
 (3)
 (5)
 (0)
 (43)",51,3,5,0,43,12,0,"51
 (3)
 (5)
 (0)
 (43)",51,"12
 (3)
 (18)
 (0)
 (0)",전기승용차 대상자 확정 마감되었음
경기,가평군,전기승용,"*일반: 접수순
*우선: 접수순","99
 (11)
 (42)
 (0)
 (46)",99,11,42,0,46,"92
 (3)
 (18)
 (0)
 (71)",92,3,18,0,71,7,0,"91
 (3)
 (18)
 (0)
 (70)",91,"8
 (8)
 (24)
 (0)
 (0)",
경기,양평군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","154
 (12)
 (0)
 (0)
 (142)",154,12,0,0,142,"160
 (15)
 (23)
 (0)
 (122)",160,15,23,0,122,0,20,"158
 (15)
 (22)
 (0)
 (121)",158,"0
 (0)
 (0)
 (0)
 (21)","2021 전기자동차 보급사업 종료(승용,화물)
- 문의사항 : 031-770-2256 (양평군청 환경과 생활환경팀)"
강원,춘천시,전기승용,"*일반: 접수순
*우선: 접수순","0
 (0)
 (0)
 (0)
 (0)",0,0,0,0,0,"677
 (8)
 (226)
 (0)
 (443)",677,8,226,0,443,0,0,"675
 (8)
 (226)
 (0)
 (441)",675,"0
 (0)
 (0)
 (0)
 (0)","※ 전기승용차 대상자 선정 마감(취소 건 발생 시 대기자 순대로 연락드리겠습니다.)
○ 차량별 출고가가 상이하여 목표대수가 다를 수 있습니다. 잔여대수는 전화문의 바랍니다."
강원,원주시,전기승용,"*일반: 접수순
*우선: 접수순","543
 (0)
 (0)
 (0)
 (543)",543,0,0,0,543,"533
 (9)
 (229)
 (0)
 (295)",533,9,229,0,295,10,248,"533
 (9)
 (229)
 (0)
 (295)",533,"10
 (0)
 (0)
 (0)
 (248)","취소자 다량 발생으로 인해 승용차 추가접수합니다.
1. 접수기간: 2021. 12. 13.(월) ~ 2021. 12. 22.(수)
                    (사업진행상황에 따라 조기에 접수를 마감할 수 있음)
2. 보급가능대수: 약 5대(잔여예산에 따라 달라질 수 있으며, 예산범위 초과하여 접수 시, 예비번호 부여 예정)
-----------------------------------------------------------------------------------------------------------------------------
12/13 전기승용 (약 5대 분량) 접수 마감하였습니다."
강원,강릉시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","540
 (0)
 (0)
 (0)
 (540)",540,0,0,0,540,"501
 (19)
 (192)
 (0)
 (290)",501,19,192,0,290,39,250,"501
 (19)
 (192)
 (0)
 (290)",501,"39
 (0)
 (0)
 (0)
 (250)","○ 예산초과하여 접수, 대상자선정(12.13) 완료 되어 사이트 접수 마감되었습니다.
○ 차량별 출고가가 상이하여 목표대수가 다를 수 있습니다."
강원,동해시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","90
 (0)
 (0)
 (0)
 (90)",90,0,0,0,90,"100
 (0)
 (2)
 (0)
 (98)",100,0,2,0,98,0,0,"100
 (0)
 (2)
 (0)
 (98)",100,"0
 (0)
 (0)
 (0)
 (0)","차량별 출고가가 상이하여 목표대수가 다를수 있습니다.
잔여대수는 전화문의 바랍니다.
(7/1부터 법인기관, 10/1부터 우선순위 보급물량이 일반물량으로 전환되었습니다)"
강원,태백시,전기승용,"*일반: 접수순
*우선: 접수순","56
 (4)
 (16)
 (0)
 (36)",56,4,16,0,36,"46
 (4)
 (16)
 (0)
 (26)",46,4,16,0,26,10,10,"46
 (4)
 (16)
 (0)
 (26)",46,"10
 (0)
 (0)
 (0)
 (10)",승용 마감 되었습니다.
강원,속초시,전기승용,"*일반: 출고등록순
*우선: -","124
 (0)
 (0)
 (0)
 (124)",124,0,0,0,124,"139
 (1)
 (9)
 (0)
 (129)",139,1,9,0,129,0,0,"122
 (1)
 (9)
 (0)
 (112)",122,"2
 (0)
 (0)
 (0)
 (12)",※ 속초시 2021년도 전기자동차 보급사업 종료
강원,삼척시,전기승용,"*일반: 접수순
*우선: 접수순","79
 (0)
 (0)
 (0)
 (79)",79,0,0,0,79,"73
 (1)
 (14)
 (0)
 (58)",73,1,14,0,58,6,21,"73
 (1)
 (14)
 (0)
 (58)",73,"6
 (0)
 (0)
 (0)
 (21)","&lt;2021년 전기자동차 보급사업 2차 공고&gt;

○ 사업개요
  - 2차 보급대수 : 66대
  - 신청가능차종 : 승용(일반, 초소형) 27, 화물(경형, 소형, 소형특수) 34, 화물(초소형) 5
  - 신청기간 : 2021. 10. 18.(월) 10:00 ~ 12. 17.(금) 18:00
  - 신청방법 : 저공해차량 구매보조금 지원시스템을 통한 온라인 신청
    * 시스템 : https://www.ev.or.kr/ps
  - 보조대상자 선정방법 : 지원시스템 신청(접수)순

※ 기타 자세한 사항은 공고문을 참고해 주시기 바랍니다."
강원,홍천군,전기승용,"*일반: 접수순
*우선: 접수순","50
 (6)
 (0)
 (0)
 (44)",50,6,0,0,44,"50
 (0)
 (5)
 (0)
 (45)",50,0,5,0,45,0,0,"50
 (0)
 (5)
 (0)
 (45)",50,"0
 (6)
 (0)
 (0)
 (0)",※ 추경1차 물량은 올해 본공고의 소진물량 포함되어 있으므로 실제 남아있는 물량은 공고물량과 차이가 날수있음.
강원,횡성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","54
 (0)
 (0)
 (0)
 (54)",54,0,0,0,54,"55
 (1)
 (2)
 (0)
 (52)",55,1,2,0,52,0,2,"55
 (1)
 (2)
 (0)
 (52)",55,"0
 (0)
 (0)
 (0)
 (2)",
강원,영월군,전기승용,"*일반: 접수순
*우선: 접수순","124
 (8)
 (33)
 (0)
 (83)",124,8,33,0,83,"35
 (4)
 (2)
 (0)
 (29)",35,4,2,0,29,89,54,"35
 (4)
 (2)
 (0)
 (29)",35,"89
 (4)
 (31)
 (0)
 (54)",2021년 승용 접수 마감
강원,평창군,전기승용,"*일반: 접수순
*우선: 접수순","38
 (4)
 (0)
 (0)
 (34)",38,4,0,0,34,"36
 (0)
 (9)
 (0)
 (27)",36,0,9,0,27,2,7,"36
 (0)
 (9)
 (0)
 (27)",36,"2
 (4)
 (0)
 (0)
 (7)",※사업 마감※
강원,정선군,전기승용,"*일반: 접수순
*우선: 접수순","30
 (0)
 (0)
 (0)
 (30)",30,0,0,0,30,"28
 (0)
 (9)
 (0)
 (19)",28,0,9,0,19,2,11,"28
 (0)
 (9)
 (0)
 (19)",28,"2
 (0)
 (0)
 (0)
 (11)",
강원,철원군,전기승용,"*일반: 접수순
*우선: 접수순","40
 (0)
 (0)
 (0)
 (40)",40,0,0,0,40,"38
 (1)
 (2)
 (0)
 (35)",38,1,2,0,35,2,5,"37
 (1)
 (2)
 (0)
 (34)",37,"3
 (0)
 (0)
 (0)
 (6)",
강원,화천군,전기승용,"*일반: 접수순(초과시 출고등록순)
*우선: 접수순(초과시 출고등록순)","21
 (0)
 (0)
 (0)
 (21)",21,0,0,0,21,"20
 (0)
 (2)
 (0)
 (18)",20,0,2,0,18,1,3,"20
 (0)
 (2)
 (0)
 (18)",20,"1
 (0)
 (0)
 (0)
 (3)",
강원,양구군,전기승용,"*일반: 접수순
*우선: 접수순","21
 (0)
 (0)
 (0)
 (21)",21,0,0,0,21,"21
 (0)
 (1)
 (0)
 (20)",21,0,1,0,20,0,1,"21
 (0)
 (1)
 (0)
 (20)",21,"0
 (0)
 (0)
 (0)
 (1)",
