총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
경기,성남시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","3320
 (85)
 (1622)
 (274)
 (1339)",3320,85,1622,274,1339,"3389
 (87)
 (1627)
 (275)
 (1400)",3389,87,1627,275,1400,0,0,"3364
 (85)
 (1622)
 (273)
 (1384)",3364,"0
 (0)
 (0)
 (1)
 (0)","&lt;전기승용 대상자선정 마감. 11. 10. 13:00&gt;  
 
최종 완료

문의: 성남시 기후에너지과(031-729-3162, 3163)"
경기,의정부시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","920
 (92)
 (276)
 (92)
 (460)",920,92,276,92,460,"857
 (30)
 (277)
 (120)
 (430)",857,30,277,120,430,63,30,"857
 (30)
 (277)
 (120)
 (430)",857,"63
 (62)
 (0)
 (0)
 (30)","하반기  승용  220대

하반기 승용 2022. 7. 4.(월) 09:00 ~ 12.30.(금)18:00 예산소진시 조기종료
자세한 내용 공고(2차) 참고
(화물은 7월 6일 수요일 접수입니다)

---------------------------------------------------------
의정부시 전기자동차 보급사업 안내 
상반기 하반기 나눠서 진행(하반기는 7월 이후 공고 예정)

ㅇ (상반기)사업기간 : 2022. 2. 25.(금) 09:00 ~ 6. 30. (목) 18:00 

ㅇ (상반기)지원대수 : 전기승용 700대 (차종별보조금차이로 지원대수는 달라질수있음)
-  일반 350대, 우선순위 70대, 법인 및 기관 210대, 택시 70대 

ㅇ 선정방법 : 출고등록순
  ▶각 지원대수당 1.2배이상 지원신청 접수시 신청마감!!!!◀
  ▶ 지원신청서 접수순으로 서류검토후 자격부여해드리며, 지원가능확인요청순으로 대상자 선정!!!!◀

  - 전화문의가 많아 업무처리가 지연될 수 있습니다. 서류심사 및 자격부여까지 3~4일 소요되므로 빠른 처리를 위해 가능한 확인전화, 전화문의 자제 부탁드립니다. (서류심사중 보완사항 있을 시 전화 및 문자발송, 자격부여시 문자발송)

※ 기타 자세한 내용은 공고문 참조하여 주시기바랍니다."
경기,안양시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1356
 (230)
 (360)
 (120)
 (646)",1356,230,360,120,646,"1029
 (22)
 (175)
 (230)
 (602)",1029,22,175,230,602,327,44,"1007
 (22)
 (174)
 (221)
 (590)",1007,"349
 (208)
 (186)
 (0)
 (56)","▶ 2022년 전기자동차 구매지원 사업 마감 ◀

* 2023년 전기자동차 구매지원 사업 2월중 공고 게시 *"
경기,부천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1590
 (120)
 (360)
 (120)
 (990)",1590,120,360,120,990,"1495
 (42)
 (439)
 (350)
 (664)",1495,42,439,350,664,95,326,"1403
 (39)
 (430)
 (330)
 (604)",1403,"187
 (81)
 (0)
 (0)
 (386)",▶2022년 전기자동차(승용) 보급사업 마감◀
경기,광명시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","406
 (41)
 (122)
 (45)
 (198)",406,41,122,45,198,"393
 (11)
 (32)
 (76)
 (274)",393,11,32,76,274,13,0,"393
 (11)
 (32)
 (76)
 (274)",393,"13
 (30)
 (90)
 (0)
 (0)","&lt;2022년도 전기자동차 보급사업 공고(3차)&gt;
○ 3차 접수 기간 : 2022. 7. 11.(월) 9:00  ~  예산소진시까지
○ 전체 사업 물량: 총 406대 
-전기승용 : 일반 198대, 우선순위 41대, 법인·기관 122대, 택시 45대
※2022. 7. 11.(월)부터 법인기관, 택시 잔여물량 일반물량으로 통합. 

○ 선정방법 : 7.11.(월)부터 출고·등록순으로 변경

○ 마감기한: 12.16.(금)까지 차량등록 및 보조급지급신청 완료해야 함(원본서류 등기발송 필수)"
경기,평택시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","550
 (55)
 (83)
 (24)
 (388)",550,55,83,24,388,"710
 (56)
 (90)
 (34)
 (530)",710,56,90,34,530,0,0,"567
 (55)
 (83)
 (24)
 (405)",567,"0
 (0)
 (0)
 (0)
 (0)","2022년 하반기 전기자동차(승용) 민간보급사업
  ○ 접수기간 : 2022. 7. 12.(화) 10:00~ 예산소진시
  ○ 선정방법 : 출고 등록순에 따른 대상자 결정
  ○ 사 업 량 : 승용·초소형 약 258대
  ○ 지원대상 및 기타문의사항 : 자세한 사항은 첨부파일 참고"
경기,동두천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","228
 (26)
 (76)
 (26)
 (100)",228,26,76,26,100,"129
 (8)
 (6)
 (24)
 (91)",129,8,6,24,91,99,9,"123
 (8)
 (6)
 (24)
 (85)",123,"105
 (18)
 (70)
 (2)
 (15)","* 2022년 총보급대수 : 승용 230대, 화물 60대
* 신청기준 : 출고등록순
* 신청기간 : 2022.02.17~2022.12.09
* 신청자격 : 동두천 거주자(3개월), 동두천 소재 사업장 등

* 2022.10.11. 보급물량 변경(승용 ; 100대, 화물 : 30대)"
경기,안산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1060
 (106)
 (424)
 (106)
 (424)",1060,106,424,106,424,"1106
 (28)
 (547)
 (74)
 (457)",1106,28,547,74,457,0,0,"1059
 (27)
 (538)
 (73)
 (421)",1059,"1
 (79)
 (0)
 (33)
 (3)","★★11/28 접수마감, 자격부여 불가★ 11/29 전기승용 보조금 대상자 마감 ★★
★★대기부여불가합니다★★

*4차공고(9/6) 이후 지급신청 건 부터 청렴이행서약서 미제출

2022년도 전기자동차 보급사업 공고(3차)
○ 접수기간 : 2022.7.18.(월) 09:00 ~ 예산소진시까지
○ 보급대수 : 475대(승용 460대, 화물 15대) → 차종별 보조금 차등 지원 
 ▶ 승용 : 일반 184대 / 법인기관 184대 / 택시 46대 / 우선순위 46대
 ▶ 화물 : 일반 10대 / 법인기관 5대
○ 지원방법 : 출고등록 접수에 의한 대상자 선정

※ 1,2차 공고[안산시 공고 제2022-351호, 제2022-1205호] 잔여 물량과 합산 집행하여 기 접수된 건도 연계하여 적용(단, 시스템상 출고기한 만료 시 취소 후 재접수 필요)
※ 10월부터 모든 물량 통합 집행"
경기,고양시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2594
 (46)
 (1366)
 (110)
 (1072)",2594,46,1366,110,1072,"2570
 (46)
 (1364)
 (110)
 (1050)",2570,46,1364,110,1050,24,22,"2570
 (46)
 (1364)
 (110)
 (1050)",2570,"24
 (0)
 (2)
 (0)
 (22)",※ 고양시 전기승용차 보급사업 마감되었습니다.
경기,과천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","248
 (0)
 (0)
 (0)
 (248)",248,0,0,0,248,"272
 (8)
 (13)
 (28)
 (223)",272,8,13,28,223,0,25,"270
 (8)
 (13)
 (27)
 (222)",270,"0
 (0)
 (0)
 (0)
 (26)","&lt;과천시 전기자동차 보급사업(3차)&gt; 
○ 신청기간: 2022.10.5. 09:00 ~ 12.23.
  ※ 12월23일까지 출고,등록 후 보조금 지급신청까지 가능한 경우만 신청 가능

○ 사업량(잔여물량) : 승용 69대  /  화물 4대 
-----------------------------------------------------------&lt;화물 마감&gt;
   ※ 보급대수는 보조금 차등지원 및 보급여건에 따라 예산범위 내에서 변동 가능

○ 지원금액: 승용 최대 1,100만원(국700, 시400) / 화물 최대 2,100만원(국1,400, 시700)
   ※ 차종별 지원금액 상이하므로 공고문 확인
○ 지원대상: 구매신청서 제출일 이전 1개월(30일)까지 과천시에 주소지를 둔 시민, 법인, 기관 등
   ※ 환경개선부담금 체납액이 없는자에 한해 보조금 지원 가능
○ 선정방법: 차량 출고등록순 

  ※ 필요서류 이외 불필요한 서류 첨부X (택시 등의 경우 초본 불필요)
  ※ 서류 제출시 반드시 원본대조필 날인 (원본우편발송 불필요)

★ 22.6.30. 접수건부터 의무운행기간 변경 적용 (기존2년 → 5년)"
경기,구리시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","309
 (33)
 (100)
 (33)
 (143)",309,33,100,33,143,"275
 (9)
 (40)
 (33)
 (193)",275,9,40,33,193,34,0,"269
 (8)
 (40)
 (33)
 (188)",269,"40
 (25)
 (60)
 (0)
 (0)","구리시 전기자동차 보급사업(3차) 안내 

- 최종 지원접수 기간 12. 9.까지 -
- 출고 및 지급신청 마감 12. 19.까지 -

ㅇ 사업기간 : 2022.2.  ~ 예산 소진 시까지
ㅇ 지원규모 : 전기승용 276대
 - 전기승용 : 일반 143대, 법인 및 기관 100대, 우선순위 33대
 - 전기택시 33대 별도 집행, 현재 택시 물량 마감되었습니다.
ㅇ 보급대수 제한 : (개인)세대당 1대, (개인사업자·법인 등)사업자당 승용 10대
ㅇ 선정방법 : 출고등록순 

※ 전기화물의 경우 별도 공고없이 예산 소진 시까지 접수
※ 기타 자세한 내용은 공고문 참조"
경기,남양주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1376
 (99)
 (0)
 (0)
 (1277)",1376,99,0,0,1277,"1421
 (67)
 (246)
 (113)
 (995)",1421,67,246,113,995,0,282,"1260
 (60)
 (236)
 (79)
 (885)",1260,"116
 (39)
 (0)
 (0)
 (392)","○ 신청기간 : 2022. 2. 23.(수) 10:00 ∼ 예산 소진 시 까지 
○ 보급물량 
   - 전기승용차 1,376대
   - 전기화물차 357대 - 상하반기 자격부여 마감 
  ※ 보조금 차등 지급에 따라 보급 물량은 별도 추가공고 없이 변동될 수 있음
○ 선정방법 : 출고등록순
○ 자세한 세부사항은 2022년도 남양주시 전기자동차 보급사업 공고문 확인
○ 전기택시 시비 보조금 추가 지원은 76대 한정(보조금 지원 신청 시 예산 잔여 여부 확인 필요)"
경기,오산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","239
 (0)
 (0)
 (0)
 (239)",239,0,0,0,239,"283
 (19)
 (27)
 (11)
 (226)",283,19,27,11,226,0,13,"243
 (17)
 (24)
 (6)
 (196)",243,"0
 (0)
 (0)
 (0)
 (43)","&lt;2022년 전기자동차 구매지원사업 2차공고&gt; -마감
○ 접수기간 : (승용) 2022. 7.18. 10:00 ~2022.12.2. 18:00

○ 보급대수 : 승용 약 130대

 * 보급여건 및 예산 범위 내에서 변동될 수 있음 
 * 우선물량은 10월1일부터 일반물량으로 통합하여 진행
○ 신청대상 : 신청일로부터 1개월 이상 시에 연속하여 거주한 시민 또는 사업자 
○ 선정기준 : 자동차 출고·등록 순 
 -  출고가능기간 : 2022.12.7(수)까지 (이후 건은 대상자선정X)
 -  지급신청마감 기간: 2022.12.16(금) 18:00 까지 도착한 서류건만 인정
* 기타 자세한 내용 공고문 참조 &amp; 출고등록후 지원신청 및 지급신청 관련서류 원본 제출 바람
** 지원신청서 접수순으로 서류검토후 자격부여해드리며, 지원가능확인요청순으로 대상자 선정
*** 지원신청서 양식 변경으로 인해 기존 양식으로 신청시 접수불가

-보조금이 모두 소진되었음을 알려드립니다."
경기,시흥시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","525
 (53)
 (158)
 (53)
 (261)",525,53,158,53,261,"606
 (30)
 (59)
 (56)
 (461)",606,30,59,56,461,0,0,"556
 (29)
 (57)
 (52)
 (418)",556,"0
 (24)
 (101)
 (1)
 (0)","2022년 전기자동차(승용) 예산 소진(예산 내 대상자 선정 완료)으로 아래와 같이 신청 접수를 마감합니다.

○ 사 업 명 : 2022년 시흥시 전기자동차(승용) 민간 보급사업 공고
○ 마감일시 : 2022.11.15.(화) 18:00
○ 마감사유 : 예산소진(대상자 선정 완료)"
경기,군포시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","465
 (50)
 (136)
 (50)
 (229)",465,50,136,50,229,"440
 (10)
 (174)
 (42)
 (214)",440,10,174,42,214,25,15,"440
 (10)
 (174)
 (42)
 (214)",440,"25
 (40)
 (0)
 (8)
 (15)","★ 승용 마감(2022.11. 25.): 접수불가
★ 화물 마감(2022.11. 01.): 접수불가

ㅇ 사업기간: 2022. 2. 21.(월) ~ 예산소진 시 까지
ㅇ 지원규모: (승용) 일반 229대, 우선지원 50대, 택시 50대, 법인기관 141대
ㅇ 보급대수 제한 : (개인) 세대당 1대 
※ 출고 10일전, 지원가능확인요청 시스템 입력 후 유선연락 바람(031-390-0542)
------------------------------------------------------------------------------------------------------
ㅇ 사업기간: 2022. 7. 11.(월) ~ 예산소진 시 까지
   ※ 상반기 신청분 재접수 하지 않고, 연속하여 인정
ㅇ 잔여대수: (승용) 우선 44대, 일반 306대
ㅇ 보급대수 제한 : (개인) 세대당 1대 
   ※ 출고 10일전, 지원가능확인요청 시스템 입력 후 유선연락 바람(031-390-0542)
   ※ 지급신청 후 원본서류 보내주지 않으셔도 됩니다."
경기,의왕시,전기승용,"*일반: 접수순
*우선: 접수순","481
 (50)
 (7)
 (80)
 (344)",481,50,7,80,344,"296
 (9)
 (9)
 (52)
 (226)",296,9,9,52,226,185,118,"291
 (9)
 (9)
 (52)
 (221)",291,"190
 (41)
 (0)
 (28)
 (123)","★의왕시 접수 마감 안내★
접수마감일: 2022. 12. 12.(월) 18:00

접수마감일 이후 12월 출고 가능 건은 의왕시청 환경과(☎031-345-3805)로 연락 후 접수하시기 바랍니다."
경기,하남시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","744
 (66)
 (196)
 (66)
 (416)",744,66,196,66,416,"908
 (43)
 (183)
 (27)
 (655)",908,43,183,27,655,0,0,"822
 (41)
 (176)
 (25)
 (580)",822,"0
 (25)
 (20)
 (41)
 (0)","★★승용 사업 마감(12.7.)★★
★★화물 잔여예산 범위 차종 1대 가능★★

○신청기간 : 2022. 10. 5. ~ 예산 소진 시까지 
○보급대수 
 - 승용 : 총 150대
 - 화물 : 총 23대
※ 전기승용·화물차 우선순위 잔여예산 통합 전환
※ 전기승용차 100대 추가 보급
○ 보급차종 : 무공해차 통합누리집 참조 
○ 대상자선정 : 출고·등록순(지원가능확인요청순)
※ 기타 자세한 사항은 공고문 참조
※※ 민원전화 폭주로 업무처리가 지연되고 있으니, 빠른 처리를 위해 가능한 전화문의 자제 부탁드립니다. 
※※※지급신청 후 원본 서류 보내주지 않으셔도 됩니다
(서류심사 중 보완사항 있을시 문자 발송예정/ 자격부여 시에도 문자 발송예정)
※※※※의무운행기간 내 말소 환수율 관련 법 개정으로 환수에 관한 동의서 변경된 서식으로 작성하여주세요※※※※"
경기,용인시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2404
 (215)
 (462)
 (97)
 (1630)",2404,215,462,97,1630,"2615
 (90)
 (527)
 (127)
 (1871)",2615,90,527,127,1871,0,0,"2594
 (89)
 (527)
 (125)
 (1853)",2594,"0
 (126)
 (0)
 (0)
 (0)","화물은 전체 물량 소진되어 마감되었습니다. (11/4 오전 마감) / 이미 접수한건에 한해서 취소물량 발생 시  순차적으로 연락드릴예정입니다. 

★★  승용은 신청마감(11/23(수) 18시로 연장하였으니 업무에 참고하시기 바랍니다.
(기존 신청건은 마감 후에도 자격부여 및 대상자 확정 진행)
------------------------------------------------------------------------------------
2022년도 전기자동차(승용,화물) 민간 보급사업 하반기 추가공고 안내
* 신청기간  : 11.1.(화) 10:00~예산소진 시 
 (승용(개인, 개인택시)은  현재 신청접수 가능하므로 신청바람/ 승용법인 및 화물의 경우 11.1부터 신청접수)

&lt;사업 추가물량&gt; -출고등록순
 - 승용 263대 
 - 화물  60대 
※ 2022.12. 9.(금)까지 출고 가능한 차량만 보조금 지급 가능
자세한 사항은 첨부파일 추경2차 공고 확인바랍니다

★ 신청접수건이 많아 서류심사 및 자격부여까지 3~4일 소요되므로 되도록 전화자제요청드립니다
(서류심사 중 보완사항 있을시 문자 발송예정/ 자격부여 시에도 문자 발송예정)"
경기,파주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","558
 (0)
 (0)
 (0)
 (558)",558,0,0,0,558,"581
 (30)
 (56)
 (14)
 (481)",581,30,56,14,481,0,77,"581
 (30)
 (56)
 (14)
 (481)",581,"0
 (0)
 (0)
 (0)
 (77)","★★ 파주시 승용(11.8) 화물(10.31) 전체 마감★★


&lt; 2022년 파주시 전기자동차 보급사업(하반기 추가)&gt;

○ 사업기간 : 2022. 10. 13 (목) 10:00 ~ 2022. 12. 16(금) 18:00
○ 보급대수 : 210대 (승용 및 초소형 90대, 화물 120대)
※ 보급대수는 차종별 보조금 차등지원에 따라 예산범위 내에서 변동될 수 있음
○ 지원제한 : 승용의 경우 1인 당 1대, 1개사 당 3대,  화물의 경우 1인당 1대, 1개사 당 1대
○ 신청대상: 신청일 이전 3개월 이상 파주시 거주자
○ 선정방법: 차량 출고·등록순
※ 수출 말소 시 의무운행기간 변경에 따라 전기차 보조금 지급 신청 유의사항 동의서 재첨부(13페이지)
※ 자격부여까지 3~4일 소요되므로 빠른 처리를 위해 가능한 전화문의 자제 부탁드립니다."
