총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
경기,성남시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2000
 (200)
 (0)
 (200)
 (1600)",2000,200,0,200,1600,"1801
 (29)
 (61)
 (246)
 (1465)",1801,29,61,246,1465,199,135,"1801
 (29)
 (61)
 (246)
 (1465)",1801,"199
 (171)
 (0)
 (0)
 (135)","2023년 기아 EV9 보조금입니다(단위: 만원)
2wd 19: 499
2wd 20: 496
4wd 19: 475
4wd 21: 483
gtl 21: 471"
경기,의정부시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","632
 (64)
 (0)
 (64)
 (504)",632,64,0,64,504,"534
 (16)
 (14)
 (74)
 (430)",534,16,14,74,430,98,74,"534
 (16)
 (14)
 (74)
 (430)",534,"98
 (48)
 (0)
 (0)
 (74)","2023년 의정부시 전기자동차 보급사업 안내(3차 모집)

※ (23.11.22.) 화물자동차 물량 마감되었습니다.
※ (23.12.13.) 승용자동차 물량 마감되었습니다.     

※ 2023.5.1.자 지침 개정으로 1만km 이내 운행+1년 미만 화물차에 대한 환수조건 추가되었습니다.
  (명의이전 시, 사전승인 필요)
ㅇ 3차 모집기간 : 2023. 9. 4.(월) 09:00 ~ 2023. 12. 1.(금) 18:00 (예산 소진 시까지) 
ㅇ 3차 추가 지원대수 : 화물 28대 
ㅇ 선정방법 : 출고등록순
   ▶ 지원신청서 접수순으로 서류검토후 자격부여해드리며, 지원가능확인요청순으로 대상자 선정!!!!◀

  - 전화문의가 많아 오히려 업무처리가 지연될 수 있습니다. 서류심사 및 자격부여까지 2~3일 소요되므로 
    단순 접수 알림, 처리 독촉 문의는 자제 부탁드립니다.
  - 시스템 접수 순으로 서류검토, 대상자 선정 됩니다. (전화로 먼저 처리해 달라고 하지 말아주세요)     
   (서류심사중 보완사항 있을 시 전화 및 문자발송, 자격부여시 문자발송)
 - 기존 시스템 상 신청 내용은 유지하되, 1개월 초과자는 주민등록등본 등 재첨부 바라며, 2개월 초과자는 취소 후 재신청 바랍니다.
※ 기타 자세한 내용은 공고문 참조하여 주시기바랍니다."
경기,안양시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1347
 (565)
 (116)
 (147)
 (519)",1347,565,116,147,519,"846
 (15)
 (35)
 (165)
 (631)",846,15,35,165,631,501,0,"829
 (14)
 (35)
 (165)
 (615)",829,"518
 (551)
 (81)
 (0)
 (0)",2023년 안양시 전기자동차 보급사업 마감되었습니다.
경기,부천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1496
 (150)
 (0)
 (150)
 (1196)",1496,150,0,150,1196,"763
 (13)
 (40)
 (180)
 (530)",763,13,40,180,530,733,666,"753
 (13)
 (39)
 (180)
 (521)",753,"743
 (137)
 (0)
 (0)
 (675)","&lt;2023년 부천시 전기자동차 보급사업&gt;
○ 사업기간 : 2023. 2. 15.(목) 16:00 ~ 11. 30.(예산소진 시 조기종료)
○ 보급대수 : 총 1,496대(일반 1,196, 우선 150, 택시150)
※ 세부사항 공고문 참조

* 빠른 처리를 위해 단순 접수알림, 처리 독촉 전화는 자제바랍니다.
* 접수 순으로 검토, 대상자 선정됩니다. 전화 독촉 자제바랍니다."
경기,광명시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","24
 (0)
 (0)
 (0)
 (24)",24,0,0,0,24,"232
 (11)
 (14)
 (49)
 (158)",232,11,14,49,158,0,0,"232
 (11)
 (14)
 (49)
 (158)",232,"0
 (0)
 (0)
 (0)
 (0)","○ 전기승용 신규접수 마감합니다.
○ 접수기간 : 2023.10.16. ~ 예산소진시
○ 보급물량 : 전기승용 24대
○ 선정기준 : 출고등록순
○ 보급대수 제한 : 개인 및 개인사업자 1대, 법인 및 기업 1대(법인 2대 이상은 한국환경공단에 신청)
※ 전기화물차를 구매한 자가 해당 차량을 1만 km 이상 운행하지 아니하고 최초 등록한 날로부터 1년 이내에 판매하는 경우 지급된 보조금의 30%를 반납해야함(23.04.28. 이후 중고매매하는 차량에 대하여 소급 적용)
※ 기타 세부사항은 공고문을 참조하시기 바랍니다
※ 신속한 업무처리를 위해 가능한 전화문의 자제 부탁드립니다."
경기,평택시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1167
 (24)
 (58)
 (96)
 (989)",1167,24,58,96,989,"1207
 (24)
 (55)
 (96)
 (1032)",1207,24,55,96,1032,0,0,"1164
 (24)
 (52)
 (96)
 (992)",1164,"3
 (0)
 (6)
 (0)
 (0)","사업명 : 2023년 전기자동차 보급사업
신청기간 : 승용 2023.7.11(화) 09:00 ~ 예산 소진시
지원가능확인 요청 기간 : 승용 2023.7.12.(수) 09:00 ~ 
보급 대수 : 총 300대 ( 일반 : 230대 택시 50대 우선순위 20대)

*신청 시작 날짜와 지원가능요청 가능 날짜가 상이하니 확인 요망
*신청 후 문의전화로 자격부여 등의 절차가 지연되고 있습니다 .
  접수순으로 자격부여를 해드리오니 문의전화를 지양해주시기 바랍니다. 

- (개인, 개인사업자) 재지원제한기간 내 1대
- (법인) 재지원제한기간* 내 1대 
*재지원제한기간 승용 2년/ 화물 5년"
경기,동두천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","155
 (10)
 (0)
 (10)
 (135)",155,10,0,10,135,"100
 (2)
 (5)
 (11)
 (82)",100,2,5,11,82,55,53,"98
 (2)
 (5)
 (11)
 (80)",98,"57
 (8)
 (0)
 (0)
 (55)","* 2023년 총보급대수 : 승용 184대, 화물 83대
* 신청기준 : 출고등록순
* 신청기간 : 2023.7.7.~2023.12.1.
* 신청자격 : 동두천 거주자(3개월), 동두천 소재 법인 등

※ 정정 공고 (12. 4.) 
 ● 정정 내용
  1) 신청기한 연장 : 12. 1.(금) → 12. 8.(금)
  2) 지급신청기한 내용 추가 : 보조금 지급신청서 2023. 12. 20.(수)까지 제출
  3) 잔여 물량 : 승용 15대 (화물 마감)"
경기,안산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","789
 (79)
 (0)
 (79)
 (631)",789,79,0,79,631,"658
 (5)
 (63)
 (44)
 (546)",658,5,63,44,546,131,85,"656
 (5)
 (63)
 (44)
 (544)",656,"133
 (74)
 (0)
 (35)
 (87)","<2023년도 전기자동차 보급사업 공고(5차)>
★지원신청서 서식 변경되었으므로 확인 후 지원 바랍니다★

○ 접수기간 : 2023. 10. 27 (수) 9시 ~ 예산 소진시까지 ('12.15. 까지 대상자 확정 및 12. 20.까지 보조금 지급 신청 완료 건에 한하여 보조금 지급)
○ 추가 보급대수 없음. 3차까지 잔여물량에 한하여 사업 집행 (10.4. 부터 우선순위 물량 중 집행되지 않은 물량은 일반물량과 통합하여 집행)
○ 보조금액 : 승용 최대 980만원/대
○ 신청대상 : 구매신청서 접수일까지 30일 이상 계속하여 안산시에 주소를 둔 개인 및 법인 등
○ 선정방법 : 출고·등록순에 의한 선정

※ 반드시 공고문을 읽고 신청하여 주시기 바랍니다.

★ 민원 전화 폭주로 업무 처리가 지연되고 있습니다, 자격부여까지는 최대 일주일 걸리니 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 자제바랍니다. 
★ 접수 순으로 검토 및 대상자 선정됩니다. 공정성을 위해 독촉 전화로 절대 먼저 처리하지 않으니 전화 자제 부탁드립니다.
★ 서류 심사 중 보완사항 존재 시, 자격 부여 및 대상자 선정 시 등 각 진행 단계에서 문자 발송 예정

※ 원본 서류 제출 불필요 ※"
경기,고양시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2625
 (263)
 (0)
 (263)
 (2099)",2625,263,0,263,2099,"1591
 (42)
 (63)
 (89)
 (1397)",1591,42,63,89,1397,1034,702,"1591
 (42)
 (63)
 (89)
 (1397)",1591,"1034
 (221)
 (0)
 (174)
 (702)",2023년 고양시 전기자동차 보급사업 마감되었습니다.
경기,과천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","156
 (6)
 (0)
 (13)
 (137)",156,6,0,13,137,"172
 (6)
 (0)
 (17)
 (149)",172,6,0,17,149,0,0,"172
 (6)
 (0)
 (17)
 (149)",172,"0
 (0)
 (0)
 (0)
 (0)","&lt;과천시 전기자동차 보급사업&gt;
○ 신청기간: 2023.2.22.(수) 15:00 ~ 예산 소진 시까지
○ 지원금액: 승용 최대 1,030만원(국680, 시350) / 화물 최대 1,900만원(국1,200, 시700)
  ※ 차종별 지원금액 상이하므로 공고문 확인
○ 지원대상: 전기자동차 구매신청일 전일까지 30일 이상 연속(계속)하여 과천시에 주소지를 둔 개인, 법인 기관 등
  ※ 지방세 체납액 및 환경개선부담금 체납액 등이 없는 자에 한해 보조금 지원 가능
○ 선정방법: 차량 출고·등록순
  ※ 서류 제출 시 반드시 원본대조필 날인 (원본우편발송 불필요)"
경기,구리시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","280
 (0)
 (0)
 (0)
 (280)",280,0,0,0,280,"248
 (9)
 (5)
 (59)
 (175)",248,9,5,59,175,32,105,"248
 (9)
 (5)
 (59)
 (175)",248,"32
 (0)
 (0)
 (0)
 (105)",23년 사업물량 소진
경기,남양주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1579
 (90)
 (0)
 (76)
 (1413)",1579,90,0,76,1413,"1104
 (25)
 (40)
 (101)
 (938)",1104,25,40,101,938,475,475,"1092
 (24)
 (40)
 (101)
 (927)",1092,"487
 (66)
 (0)
 (0)
 (486)","○ 신청기간 : 2023. 2. 28.(화) 10:00 ∼ 예산 소진 시 까지 
○ 보급물량 
   - 전기승용차 1,097대
   - 전기화물차 695대 
  ※ 보조금 차등 지급에 따라 보급 물량은 별도 추가공고 없이 변동될 수 있음
○ 선정방법 : 출고등록순
○ 자세한 세부사항은 2023년도 남양주시 전기자동차 보급사업 공고문 확인"
경기,오산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","274
 (28)
 (0)
 (50)
 (196)",274,28,0,50,196,"248
 (7)
 (12)
 (29)
 (200)",248,7,12,29,200,26,0,"240
 (7)
 (11)
 (29)
 (193)",240,"34
 (21)
 (0)
 (21)
 (3)","2023년 오산시 하반기 전기자동차 구매지원 사업
★지원신청서 및 지급신청서 서식 변경되었으니 확인 후 신청바람★
- 신청기간 : (승용) 2023.7.24(월) 10:00 ~ 2023.12.01(금) 18:00
                  (화물) 2023.7.14(금) 10:00 ~ 2023.12.01(금) 18:00
- 화물 지원가능확인요청 시작일자 : 2023.07.19.(수) 09:00부터
※ 화물 지원가능확인 요청일자 이전 신청 건은 대상자승인 불가 (별도 통보 없이 자격부여 단계로 변경 예정)
- 보급대수 : 승용 76대, 화물 68대
- 개인 및 개인사업자, 법인 재지원제한기간 내 1대 가능( 법인 2대 이상 구매시 환경공단에 문의바람)

※자세한 사항은 공고문을 참고하여 주시기 바랍니다.

- 승용 전체물량 마감되었습니다."
경기,시흥시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","527
 (53)
 (0)
 (53)
 (421)",527,53,0,53,421,"480
 (21)
 (32)
 (35)
 (392)",480,21,32,35,392,47,29,"468
 (20)
 (31)
 (35)
 (382)",468,"59
 (33)
 (0)
 (18)
 (39)","*승용 모든물량 대상자 선정 완료로 마감*

<2023년 시흥시 전기자동차(승용, 화물)  변경 공고>
*구매지원신청서 동의서 서식 변경- 변경된 서식으로 신청바랍니다*


 ○ 접수기간 
   - 승용 : 2023. 2. 17.(금) ~ 예산 소진 시 까지 

   - 화물 추가물량(일반, 우선순위, 중소기업 생산물량) : 2023. 8. 17.(목) 9:00 ~ 예산 소진 시 까지
   
 ○ 보급물량
   - 승용  527대
   - 화물  253대

 ○ 선정방법
   - 자격부여 : 신청접수순으로 검토
   - 대상자선정 : 지원가능 여부확인 요청순으로 선정"
경기,군포시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","451
 (46)
 (0)
 (46)
 (359)",451,46,0,46,359,"293
 (4)
 (12)
 (19)
 (258)",293,4,12,19,258,158,101,"293
 (4)
 (12)
 (19)
 (258)",293,"158
 (42)
 (0)
 (27)
 (101)","ㅇ 사업기간: 2023. 2. 22. (수) ~ 12. 18. (월) (예산 소진 시 조기마감)
   ※ 12. 18. 18:00 대상자선정 마감, 12. 21. 08:59까지 지급신청 가능한 차량에 한해 보조금 지급 가능
ㅇ 지원규모: (승용) 456대
   ※ 차종별 보조금 차등 지원 및 국비 추가지원, 관용차 지원에 따라 변경 가능
ㅇ 보급대수 제한: (개인) 1인 1대, (법인) 1대
   ※ 출고 10일 전 지원가능확인요청 시스템 입력 후 유선연락 바람(031-390-0542)
   ※ 지급신청 후 원본서류 보내주지 않으셔도 됩니다.

★ 2023년 전기승용차 보조금 접수 마감되었습니다 ★"
경기,의왕시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","590
 (59)
 (0)
 (100)
 (431)",590,59,0,100,431,"274
 (6)
 (9)
 (29)
 (230)",274,6,9,29,230,316,201,"273
 (6)
 (9)
 (29)
 (229)",273,"317
 (53)
 (0)
 (71)
 (202)",
경기,하남시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","614
 (46)
 (0)
 (46)
 (522)",614,46,0,46,522,"601
 (46)
 (27)
 (28)
 (500)",601,46,27,28,500,13,22,"578
 (46)
 (26)
 (27)
 (479)",578,"36
 (0)
 (0)
 (19)
 (43)",전기승용차 마감
경기,용인시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1968
 (0)
 (0)
 (0)
 (1968)",1968,0,0,0,1968,"2171
 (36)
 (94)
 (158)
 (1883)",2171,36,94,158,1883,0,85,"2117
 (34)
 (94)
 (158)
 (1831)",2117,"0
 (0)
 (0)
 (0)
 (137)","2023년 ★하반기★ 전기자동차(승용·화물) 보급사업

○ 승용 : 마감(11/21소진)/ 화물 : 12/13일(수)까지 접수,  12/15(금)까지 지급신청 

○ 대상자 선정기준 : 출고·등록순

○ 대수제한
- 개인 및 개인사업자 : 개인당 1대(용인시 3개월 이상 거주)
- ★★개인사업자는 사업장 주소와 관계없이 등본상 주소지가 용인이면 가능★★
- 법인 : 1대(2대이상 구매는 환경공단 문의 1661-0970)

★ 처리 독촉 전화 자제 및 독촉 전화와 관계없이 공정하게 선착순으로 서류 심사 진행
※ 출고 전 잔여물량 확인 필수
※ 기타 문의사항 : 용인시청 기후대기과 (☎031-324-3155) 문의"
경기,파주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","432
 (28)
 (0)
 (17)
 (387)",432,28,0,17,387,"470
 (27)
 (24)
 (18)
 (401)",470,27,24,18,401,0,0,"470
 (27)
 (24)
 (18)
 (401)",470,"0
 (1)
 (0)
 (0)
 (0)","★★★★★전기(승용)자동차 전량 마감★★★★★ 

---------------------------------------------------------------------------------
<2023년 하반기 전기자동차 구매지원사업>
○접수신청 : 7/3(월) 9시~ 예산소진시까지
○대수
-승용:217대(일반173대,우선순위22대,택시22대)
-화물:204대(일반124대,우선순위20대,택배40대,중소기업20대)
○보조금(최대 일반기준)
-승용:980만원(국비680,지방비300)
-화물:1800만원(국비1200,지방비600)
○대상자선정 : 출고등록순
○보급대수제한
-개인(개인사업자 포함):1대
-법인:1대
※ 기타 자세한 문의사항은 공고문을 참고하시기 바라며, 보급대수는 차종별 보조금 차등지원에 따라 예산범위 내에서 변동될 수 있음
※ 승용 택시물량 통합, 승용-화물 간 물량 조정으로 인해 승용 물량이 변동되었음을 알려드립니다."
경기,이천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","255
 (0)
 (0)
 (0)
 (255)",255,0,0,0,255,"321
 (14)
 (24)
 (8)
 (275)",321,14,24,8,275,0,0,"313
 (14)
 (24)
 (8)
 (267)",313,"0
 (0)
 (0)
 (0)
 (0)","*승용 모든 물량 대상자 선정 완료되어 사업종료*
--------------------------------------------------------------
<2023년 전기자동차(승용) 보급사업 안내>
 ○ 공고일: 2023. 11. 16.(목)
 ○ 접수기간:　2023. 11. 20.(월) 10:00~ 예산 소진 시
 ○ 보급대수: 약30대    ※ 보급여건에 따라 변동 가능 
 ○ 선정기준: 출고·등록순
    ※ 지원가능확인 요청(10일 이내 출고 확정 시)일이 같을 경우 접수순으로 선정
--------------------------------------------------------------------------------------------
<2023년 전기자동차(승용) 보급사업 안내>
 ○ 공고일: 2023. 2. 14.(화)
 ○ 접수기간:　2023. 2. 15.(수) 10:00~ 예산 소진 시
 ○ 보급대수: 총351대(일반: 279대/ 우선순위: 36대/ 택시: 36대)
    ※ 보급여건 및 예산증감에 따라 변동 가능 
 ○ 선정기준: 출고·등록순
    ※ 지원가능확인 요청(10일 이내 출고 확정 시)일이 같을 경우 접수순으로 선정"
