번호,업체명,차종,차명,형식,사용연료,인증구분,"배출가스
인증번호","배출가스
인증일","1회충전주행거리(km)
상온 도심","1회충전주행거리(km)
상온 고속","1회충전주행거리(km)
상온 복합","1회충전주행거리(km)
저온 도심","1회충전주행거리(km)
저온 고속","1회충전주행거리(km)
저온 복합"
15,현대자동차(주),승용(소형),아이오닉6 FL 항속형 2WD 20인치 N-Line,CE1FL-EV-G7A-EX2W-20-NL,전기(EV),신규인증,SMY-HD-21-28,2025-06-04,510,431,475,424,442,432
16,현대자동차(주),승용(소형),아이오닉6 FL 항속형 AWD 18인치,CE1FL-EV-G7A-EX4W-18,전기(EV),신규인증,SMY-HD-21-29,2025-06-04,583,508,549,434,476,453
17,현대자동차(주),승용(소형),아이오닉6 FL 항속형 AWD 20인치,CE1FL-EV-G7A-EX4W-20,전기(EV),신규인증,SMY-HD-21-29,2025-06-04,473,418,448,373,406,388
18,현대자동차(주),승용(소형),아이오닉6 FL 항속형 AWD 20인치 N-Line,CE1FL-EV-G7A-EX4W-20-NL,전기(EV),신규인증,SMY-HD-21-29,2025-06-04,454,402,431,367,399,382
19,기아(주),승용(소형),PV5 패신저 항속형,SW1-EV5PSG-G7A-EX2W-16,전기(EV),신규인증,SMY-KM-21-24,2025-06-04,410,306,363,290,302,296
20,기아(주),화물(중형),PV5 카고 롱 기본형 3DR,SW1-EV2CL-G7A-ST2W-3DR-16,전기(EV),신규인증,SMY-KM-21-25,2025-06-04,321,230,280,233,228,231
21,기아(주),화물(중형),PV5 카고 롱 기본형 4DR,SW1-EV2CL-G7A-ST2W-4DR-16,전기(EV),신규인증,SMY-KM-21-25,2025-06-04,305,229,271,217,220,218
22,기아(주),화물(중형),PV5 카고 롱 항속형 3DR,SW1-EV2CL-G7A-EX2W-3DR-16,전기(EV),신규인증,SMY-KM-21-26,2025-06-04,422,323,378,312,322,316
23,기아(주),화물(중형),PV5 카고 롱 항속형 4DR,SW1-EV2CL-G7A-EX2W-4DR-16,전기(EV),신규인증,SMY-KM-21-26,2025-06-04,422,323,378,312,322,316
24,(주)우진산전,승용(초대형),아폴로 1100 양문형,WJEB-11CTLP-07,전기(EV),변경인증,RMY-WJ-21-25,2025-06-01,,,351,,,
25,현대자동차(주),승용(소형),아이오닉5 N,NEN-EV-G7A-ST4,전기(EV),변경인증,PMY-HD-21-22,2025-05-19,,,,,,
26,현대자동차(주),승용(소형),아이오닉5 N-line RWD,NEPE-EV-G7A-LR2W-NL,전기(EV),변경인증,RMY-HD-21-10,2025-05-19,,,,,,
27,현대자동차(주),승용(소형),아이오닉5 N-line AWD,NEPE-EV-G7A-LR4W-NL,전기(EV),변경인증,RMY-HD-21-11,2025-05-19,,,,,,
28,현대자동차(주),승용(소형),캐스퍼 EV 항속형 15인치,AX-EV-G7A-LR2W-15,전기(EV),변경인증,RMY-HD-21-19,2025-05-19,,,,,,
29,현대자동차(주),승용(소형),캐스퍼 EV 항속형 17인치,AX-EV-G7A-LR2W-17,전기(EV),변경인증,RMY-HD-21-19,2025-05-19,,,,,,
30,현대자동차(주),승용(소형),아이오닉5 기본형 RWD 개조차,NEPE-EV-G7A-ST2W,전기(EV),변경인증,RMY-HD-21-20,2025-05-19,,,,,,
31,현대자동차(주),승용(소형),캐스퍼 EV 기본형 15인치,AX-EV-G7A-STD-15,전기(EV),변경인증,RMY-HD-21-24,2025-05-19,,,,,,
32,현대자동차(주),승용(소형),캐스퍼 EV CROSS 바스켓 루프랙 17인치,AX-EV-G7A-CSBS-17,전기(EV),변경인증,RMY-HD-21-29,2025-05-19,,,,,,
33,현대자동차(주),승용(소형),캐스퍼 EV CROSS 17인치,AX-EV-G7A-CSBR-17,전기(EV),변경인증,RMY-HD-21-29,2025-05-19,,,,,,
34,현대자동차(주),승용(소형),아이오닉5 항속형 RWD 개조차,NEPE-EV-G7A-LR2W,전기(EV),변경인증,RMY-HD-21-3,2025-05-19,,,,,,
35,현대자동차(주),승용(소형),아이오닉5 항속형 AWD 개조차 19인치,NEPE-EV-G7A-LR4W-19,전기(EV),변경인증,RMY-HD-21-9,2025-05-19,,,,,,
36,현대자동차(주),승용(소형),아이오닉5 항속형 AWD 개조차 20인치,NEPE-EV-G7A-LR4W-20,전기(EV),변경인증,RMY-HD-21-9,2025-05-19,,,,,,
37,기아(주),승용(소형),EV3 항속형 2WD 19인치,SV-EV-G7A-EX2W-19D,전기(EV),변경인증,RMY-KM-21-16,2025-05-19,,,,,,
38,기아(주),승용(소형),EV3 항속형 2WD 17인치,SV-EV-G7A-EX2W-17D,전기(EV),변경인증,RMY-KM-21-16,2025-05-19,,,,,,
39,기아(주),승용(소형),EV3 기본형 2WD,SV-EV-G7A-ST2W,전기(EV),변경인증,RMY-KM-21-17,2025-05-19,,,,,,
40,현대자동차(주),승용(소형),GV60 RWD 19인치,JWFL-EV-G7A-ST2-19,전기(EV),변경인증,SMY-HD-21-2,2025-05-19,,,,,,
41,현대자동차(주),승용(소형),GV60 성능형 4WD 21인치,JWFL-EV-G7A-PF4-21,전기(EV),변경인증,SMY-HD-21-3,2025-05-19,,,,,,
42,현대자동차(주),승용(소형),GV60 4WD 19인치,JWFL-EV-G7A-ST4-19,전기(EV),변경인증,SMY-HD-21-4,2025-05-19,,,,,,
43,현대자동차(주),승용(소형),GV60 4WD 20인치,JWFL-EV-G7A-ST4-20,전기(EV),변경인증,SMY-HD-21-4,2025-05-19,,,,,,
44,기아(주),승용(소형),EV4 기본형 2WD 19인치,CT1-EV-G7A-ST2W-19,전기(EV),변경인증,SMY-KM-21-8,2025-05-19,,,,,,
45,기아(주),승용(소형),EV4 기본형 2WD 17인치,CT1-EV-G7A-ST2W-17,전기(EV),변경인증,SMY-KM-21-8,2025-05-19,,,,,,
46,기아(주),승용(소형),EV4 항속형 2WD 17인치,CT1-EV-G7A-EX2W-17,전기(EV),변경인증,SMY-KM-21-9,2025-05-19,,,,,,
47,기아(주),승용(소형),EV4 항속형 2WD 19인치 GT-Line,CT1-EV-G7A-EX2W-19-GTL,전기(EV),변경인증,SMY-KM-21-9,2025-05-19,,,,,,
48,기아(주),승용(소형),EV4 항속형 2WD 19인치,CT1-EV-G7A-EX2W-19,전기(EV),변경인증,SMY-KM-21-9,2025-05-19,,,,,,
49,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 21인치 7인,ME1-EV7-G7A-PF4W-21,전기(EV),변경인증,RMY-HD-21-40,2025-05-18,,,,,,
50,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 19인치 7인,ME1-EV7-G7A-PF4W-19,전기(EV),변경인증,RMY-HD-21-40,2025-05-18,,,,,,
51,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 19인치 6인,ME1-EV6-G7A-PF4W-19,전기(EV),변경인증,RMY-HD-21-40,2025-05-18,,,,,,
52,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 21인치 6인,ME1-EV6-G7A-PF4W-21,전기(EV),변경인증,RMY-HD-21-40,2025-05-18,,,,,,
53,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 19인치 6인,ME1-EV6-G7A-LR4W-19,전기(EV),변경인증,RMY-HD-21-41,2025-05-18,,,,,,
54,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 19인치 7인,ME1-EV7-G7A-LR4W-19,전기(EV),변경인증,RMY-HD-21-41,2025-05-18,,,,,,
55,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 21인치 6인,ME1-EV6-G7A-LR4W-21,전기(EV),변경인증,RMY-HD-21-41,2025-05-18,,,,,,
56,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 21인치 7인,ME1-EV7-G7A-LR4W-21,전기(EV),변경인증,RMY-HD-21-41,2025-05-18,,,,,,
57,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 19인치 6인,ME1-EV6-G7A-LR2W-19,전기(EV),변경인증,RMY-HD-21-42,2025-05-18,,,,,,
58,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 21인치 7인,ME1-EV7-G7A-LR2W-21,전기(EV),변경인증,RMY-HD-21-42,2025-05-18,,,,,,
59,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 19인치 7인,ME1-EV7-G7A-LR2W-19,전기(EV),변경인증,RMY-HD-21-42,2025-05-18,,,,,,
60,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 21인치 6인,ME1-EV6-G7A-LR2W-21,전기(EV),변경인증,RMY-HD-21-42,2025-05-18,,,,,,
61,기아(주),승용(소형),EV9 4WD 21인치 7인,MV1-EV7-G7A-4W-21,전기(EV),변경인증,PMY-KM-21-13,2025-05-16,,,,,,
62,기아(주),승용(소형),EV9 4WD 21인치 6인,MV1-EV6-G7A-4W-21,전기(EV),변경인증,PMY-KM-21-13,2025-05-16,,,,,,
63,기아(주),승용(소형),EV9 4WD 19인치 7인,MV1-EV7-G7A-4W-19,전기(EV),변경인증,PMY-KM-21-13,2025-05-16,,,,,,
64,기아(주),승용(소형),EV9 4WD 19인치 6인,MV1-EV6-G7A-4W-19,전기(EV),변경인증,PMY-KM-21-13,2025-05-16,,,,,,
65,기아(주),승용(소형),EV9 2WD 20인치 7인,MV1-EV7-G7A-2W-20,전기(EV),변경인증,PMY-KM-21-14,2025-05-16,,,,,,
66,기아(주),승용(소형),EV9 2WD 20인치 6인,MV1-EV6-G7A-2W-20,전기(EV),변경인증,PMY-KM-21-14,2025-05-16,,,,,,
67,기아(주),승용(소형),EV9 2WD 19인치 7인,MV1-EV7-G7A-2W-19,전기(EV),변경인증,PMY-KM-21-14,2025-05-16,,,,,,
68,기아(주),승용(소형),EV9 2WD 19인치 6인,MV1-EV6-G7A-2W-19,전기(EV),변경인증,PMY-KM-21-14,2025-05-16,,,,,,
69,기아(주),승용(소형),EV9 GTL 4WD 21인치 7인,MV1-EV7-G7A-GTL4W-21,전기(EV),변경인증,PMY-KM-21-15,2025-05-16,,,,,,
70,기아(주),승용(소형),EV9 GTL 4WD 21인치 6인,MV1-EV6-G7A-GTL4W-21,전기(EV),변경인증,PMY-KM-21-15,2025-05-16,,,,,,
71,케이지모빌리티(주),승용(소형),토레스 EVX 2WD 18인치,U5MLI2H,전기(EV),변경인증,PMY-SY-21-19,2025-05-16,,,,,,
72,케이지모빌리티(주),승용(소형),토레스 EVX 2WD 20인치,U5MLI2H,전기(EV),변경인증,PMY-SY-21-25,2025-05-16,,,,,,
73,현대자동차(주),화물(중형),ST1 기본형 샤시캡 17인치,A01-EV2-G7A-ST2-CHC-17,전기(EV),변경인증,RMY-HD-21-23,2025-05-16,,,,,,
74,현대자동차(주),화물(중형),ST1 기본형 하이탑 17인치,A01-EV2-G7A-ST2-HDVSS-17,전기(EV),변경인증,RMY-HD-21-7,2025-05-16,,,,,,
75,현대자동차(주),화물(중형),ST1 기본형 카고 17인치,A01-EV2-G7A-ST2-DVSS-17,전기(EV),변경인증,RMY-HD-21-7,2025-05-16,,,,,,
76,현대자동차(주),화물(중형),ST1 기본형 카고 냉동 17인치,A01-EV2-G7A-ST2-RTSS-17,전기(EV),변경인증,RMY-HD-21-7,2025-05-16,,,,,,
77,기아(주),승용(소형),EV9 기본형 2WD 19인치 6인,MV1-EV6-G7A-ST2W-19,전기(EV),변경인증,RMY-KM-21-31,2025-05-16,,,,,,
78,기아(주),승용(소형),EV9 기본형 2WD 19인치 7인,MV1-EV7-G7A-ST2W-19,전기(EV),변경인증,RMY-KM-21-31,2025-05-16,,,,,,
79,케이지모빌리티(주),승용(소형),토레스 EVX 18인치,U5MLI2H18,전기(EV),변경인증,RMY-SY-21-34,2025-05-16,,,,,,
80,케이지모빌리티(주),승용(소형),토레스 EVX 20인치,U5MLI2H20,전기(EV),변경인증,RMY-SY-21-35,2025-05-16,,,,,,
81,케이지모빌리티(주),화물(중형),토레스 EVX VAN 18인치,U5MLI2HV,전기(EV),변경인증,RMY-SY-21-4,2025-05-16,,,,,,
82,케이지모빌리티(주),화물(중형),MUSSO EV 2WD 17인치,O5MLI2H17,전기(EV),변경인증,RMY-SY-21-43,2025-05-16,,,,,,
83,케이지모빌리티(주),화물(중형),토레스 EVX VAN 20인치,U5MLI2HV,전기(EV),변경인증,RMY-SY-21-5,2025-05-16,,,,,,
84,케이지모빌리티(주),화물(중형),토레스 EVX 밴 20인치,U2MLI2HV20,전기(EV),변경인증,SMY-SY-21-11,2025-05-16,,,,,,
85,케이지모빌리티(주),화물(중형),MUSSO EV AWD 17인치,O5MLIAH17,전기(EV),변경인증,SMY-SY-21-12,2025-05-16,,,,,,
86,케이지모빌리티(주),화물(중형),토레스 EVX 밴 18인치,U2MLI2HV18,전기(EV),변경인증,SMY-SY-21-14,2025-05-16,,,,,,
87,케이지모빌리티(주),승용(소형),토레스 EVX 2WD 18인치,U5MLI2H,전기(EV),변경인증,PMY-SY-21-19,2025-05-15,,,,,,
88,케이지모빌리티(주),승용(소형),토레스 EVX 2WD 20인치,U5MLI2H,전기(EV),변경인증,PMY-SY-21-25,2025-05-15,,,,,,
89,케이지모빌리티(주),승용(소형),토레스 EVX 18인치,U5MLI2H18,전기(EV),변경인증,RMY-SY-21-34,2025-05-15,,,,,,
90,케이지모빌리티(주),승용(소형),토레스 EVX 20인치,U5MLI2H20,전기(EV),변경인증,RMY-SY-21-35,2025-05-15,,,,,,
91,케이지모빌리티(주),화물(중형),토레스 EVX VAN 18인치,U5MLI2HV,전기(EV),변경인증,RMY-SY-21-4,2025-05-15,,,,,,
92,케이지모빌리티(주),화물(중형),MUSSO EV 2WD 17인치,O5MLI2H17,전기(EV),변경인증,RMY-SY-21-43,2025-05-15,,,,,,
93,케이지모빌리티(주),화물(중형),토레스 EVX VAN 20인치,U5MLI2HV,전기(EV),변경인증,RMY-SY-21-5,2025-05-15,,,,,,
94,케이지모빌리티(주),승용(소형),코란도 EV 2WD,E5MLI2H,전기(EV),변경인증,RMY-SY-21-8,2025-05-15,,,,,,
95,케이지모빌리티(주),화물(중형),토레스 EVX 밴 20인치,U2MLI2HV20,전기(EV),변경인증,SMY-SY-21-11,2025-05-15,,,,,,
96,케이지모빌리티(주),화물(중형),MUSSO EV AWD 17인치,O5MLIAH17,전기(EV),변경인증,SMY-SY-21-12,2025-05-15,,,,,,
97,케이지모빌리티(주),화물(중형),토레스 EVX 밴 18인치,U2MLI2HV18,전기(EV),변경인증,SMY-SY-21-14,2025-05-15,,,,,,
98,(주)일진정공,화물(중형),일진무시동전기탑차ST1,IJ1.0ER-ST1-HD1.0,전기(EV),신규인증,SMY-IJ-21-23,2025-05-13,328,215,277,254,221,239
99,타타대우모빌리티(주),화물(대형),기쎈,FE5NE1,전기(EV),신규인증,SMY-TD-21-22,2025-05-13,,,260,,,
100,(주)에스엘모터스,이륜,WIND-K2T,K2-BL72DC,전기(EV),신규인증,SMY-SL-21-21,2025-05-12,61.9,,,47.4,,
101,현대자동차(주),승용(초대형),일렉시티 이층버스,EC2F701-A216P-C,전기(EV),변경인증,LMY-HD-21-82,2025-05-08,,,,,,
102,(주)일진정공,화물(중형),일진무시동전기냉동탑차ST1,IJ1.0ER-ST1-HD1.0,전기(EV),신규인증,SMY-IJ-21-20,2025-05-01,357,221,295,215,205,210
103,현대자동차(주),승용(소형),캐스퍼 EV 항속형 15인치,AX-EV-G7A-LR2W-15,전기(EV),변경인증,RMY-HD-21-19,2025-04-28,,,,,,
104,현대자동차(주),승용(소형),캐스퍼 EV 항속형 17인치,AX-EV-G7A-LR2W-17,전기(EV),변경인증,RMY-HD-21-19,2025-04-28,,,,,,
105,현대자동차(주),승용(소형),G80 Electrified,RG3PE-EV-G7A,전기(EV),변경인증,RMY-HD-21-21,2025-04-28,,,,,,
106,현대자동차(주),승용(소형),캐스퍼 EV 기본형 15인치,AX-EV-G7A-STD-15,전기(EV),변경인증,RMY-HD-21-24,2025-04-28,,,,,,
107,현대자동차(주),승용(소형),캐스퍼 EV CROSS 바스켓 루프랙 17인치,AX-EV-G7A-CSBS-17,전기(EV),변경인증,RMY-HD-21-29,2025-04-28,,,,,,
108,현대자동차(주),승용(소형),캐스퍼 EV CROSS 17인치,AX-EV-G7A-CSBR-17,전기(EV),변경인증,RMY-HD-21-29,2025-04-28,,,,,,
109,(주)와코,이륜,X10A,KW080X10A-2W,전기(EV),신규인증,SMY-WM-21-19,2025-04-28,58.1,,,42.5,,
110,(주)윙윙시스템,승용(대형),윙윙트라베리어린이운송차,YBL6591QBEV4,전기(EV),신규인증,SMY-WW-21-15,2025-04-23,,,361,,,
111,(주)윙윙시스템,승용(대형),동일차_1,,전기(EV),신규인증,SMY-WW-21-15,2025-04-23,,,361,,,
112,현대자동차(주),화물(중형),포터 일렉트릭 전동식 윙바디,HR-EV-G7A-SE-2WD-A-NW,전기(EV),신규인증,SMY-HD-21-17,2025-04-18,200,144,175,141,140,141
113,현대자동차(주),화물(중형),포터 일렉트릭 파워게이트,HR-EV-G7A-SE-2WD-NP,전기(EV),신규인증,SMY-HD-21-17,2025-04-18,200,144,175,141,140,141
114,현대자동차(주),화물(중형),포터 일렉트릭 저상내장탑,HR-EV-G7A-SE-2WD-LD,전기(EV),신규인증,SMY-HD-21-17,2025-04-18,200,144,175,141,140,141
115,현대자동차(주),화물(중형),포터 일렉트릭 하이내장탑,HR-EV-G7A-SE-2WD-HD,전기(EV),신규인증,SMY-HD-21-17,2025-04-18,200,144,175,141,140,141
116,현대자동차(주),화물(중형),포터 일렉트릭 특장차,HR-EV-G7A-SE-2WD-M-NW,전기(EV),신규인증,SMY-HD-21-17,2025-04-18,200,144,175,141,140,141
117,현대자동차(주),화물(중형),포터 일렉트릭 내장탑,HR-EV-G7A-SE-2WD-ND,전기(EV),신규인증,SMY-HD-21-17,2025-04-18,200,144,175,141,140,141
118,기아(주),화물(중형),봉고 전기차 하이 내장차,PU-EV-G7A-2WD-PDVSS,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
119,기아(주),화물(중형),봉고 전기차 내장차,PU-EV-G7A-2WD-DVSS,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
120,기아(주),화물(중형),봉고 전기차 냉동차,PU-EV-G7A-2WD-RTSS,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
121,기아(주),화물(중형),봉고 전기차 로우 미닫이차,PU-EV-G7A-2WD-LDTSLD,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
122,기아(주),화물(중형),봉고 전기차 미닫이차,PU-EV-G7A-2WD-DTSLD,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
123,기아(주),화물(중형),봉고 전기차 파워게이트,PU-EV-G7A-2WD-APGT,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
124,기아(주),화물(중형),봉고 전기차 파워게이트,PU-EV-G7A-2WD-TPGT,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
125,기아(주),화물(중형),봉고 전기차 파워게이트,PU-EV-G7A-2WD-PGT,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
126,기아(주),화물(중형),봉고 전기차 로우 냉동차,PU-EV-G7A-2WD-LRTSS,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
127,기아(주),화물(중형),봉고 전기차 특장차,PU-EV-G7A-2WD-WBP,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
128,기아(주),화물(중형),봉고 전기차 로우 내장차,PU-EV-G7A-2WD-LDVSS,전기(EV),신규인증,SMY-KM-21-16,2025-04-18,215,148,185,155,146,151
129,기아(주),승용(소형),EV9 4WD 19인치 6인,MV1-EV6-G7A-4W-19,전기(EV),변경인증,PMY-KM-21-13,2025-04-17,,,,,,
130,기아(주),승용(소형),EV9 4WD 19인치 7인,MV1-EV7-G7A-4W-19,전기(EV),변경인증,PMY-KM-21-13,2025-04-17,,,,,,
131,기아(주),승용(소형),EV9 4WD 21인치 6인,MV1-EV6-G7A-4W-21,전기(EV),변경인증,PMY-KM-21-13,2025-04-17,,,,,,
132,기아(주),승용(소형),EV9 4WD 21인치 7인,MV1-EV7-G7A-4W-21,전기(EV),변경인증,PMY-KM-21-13,2025-04-17,,,,,,
133,기아(주),승용(소형),EV9 2WD 20인치 7인,MV1-EV7-G7A-2W-20,전기(EV),변경인증,PMY-KM-21-14,2025-04-17,,,,,,
134,기아(주),승용(소형),EV9 2WD 20인치 6인,MV1-EV6-G7A-2W-20,전기(EV),변경인증,PMY-KM-21-14,2025-04-17,,,,,,
135,기아(주),승용(소형),EV9 2WD 19인치 7인,MV1-EV7-G7A-2W-19,전기(EV),변경인증,PMY-KM-21-14,2025-04-17,,,,,,
136,기아(주),승용(소형),EV9 2WD 19인치 6인,MV1-EV6-G7A-2W-19,전기(EV),변경인증,PMY-KM-21-14,2025-04-17,,,,,,
137,기아(주),승용(소형),EV9 GTL 4WD 21인치 7인,MV1-EV7-G7A-GTL4W-21,전기(EV),변경인증,PMY-KM-21-15,2025-04-17,,,,,,
138,기아(주),승용(소형),EV9 GTL 4WD 21인치 6인,MV1-EV6-G7A-GTL4W-21,전기(EV),변경인증,PMY-KM-21-15,2025-04-17,,,,,,
139,현대자동차(주),화물(중형),ST1 기본형 샤시캡 17인치,A01-EV2-G7A-ST2-CHC-17,전기(EV),변경인증,RMY-HD-21-23,2025-04-17,,,,,,
140,현대자동차(주),화물(중형),ST1 기본형 카고 냉동 17인치,A01-EV2-G7A-ST2-RTSS-17,전기(EV),변경인증,RMY-HD-21-7,2025-04-17,,,,,,
141,현대자동차(주),화물(중형),ST1 기본형 카고 17인치,A01-EV2-G7A-ST2-DVSS-17,전기(EV),변경인증,RMY-HD-21-7,2025-04-17,,,,,,
142,현대자동차(주),화물(중형),ST1 기본형 하이탑 17인치,A01-EV2-G7A-ST2-HDVSS-17,전기(EV),변경인증,RMY-HD-21-7,2025-04-17,,,,,,
143,기아(주),승용(소형),EV9 기본형 2WD 19인치 6인,MV1-EV6-G7A-ST2W-19,전기(EV),변경인증,RMY-KM-21-31,2025-04-17,,,,,,
144,기아(주),승용(소형),EV9 기본형 2WD 19인치 7인,MV1-EV7-G7A-ST2W-19,전기(EV),변경인증,RMY-KM-21-31,2025-04-17,,,,,,
145,기아(주),승용(소형),EV9 GT 21인치,MV1-EV6-G7A-GT4W-21,전기(EV),변경인증,RMY-KM-21-44,2025-04-17,,,,,,
146,기아(주),경자동차,레이 EV,TAM-EV2-G7A-14V2,전기(EV),변경인증,PMY-KM-21-21,2025-04-16,239,177,211,172,181,176
147,기아(주),경자동차,레이 EV,TAM-EV1-G7A-14V1,전기(EV),변경인증,PMY-KM-21-21,2025-04-16,239,177,211,172,181,176
148,기아(주),경자동차,레이 EV,TAM-EV4-G7A-14WG,전기(EV),변경인증,PMY-KM-21-21,2025-04-16,239,177,211,172,181,176
149,케이지모빌리티(주),화물(중형),토레스 EVX 밴 18인치,U2MLI2HV18,전기(EV),신규인증,SMY-SY-21-14,2025-04-11,461,392,430,335,377,354
150,현대자동차(주),승용(소형),코나 일렉트릭(항속형) 19인치,SX2-EV-G7A-EX2-19,전기(EV),변경인증,PMY-HD-21-11,2025-04-09,,,,,,
151,현대자동차(주),승용(소형),코나 일렉트릭(항속형) 17인치,SX2-EV-G7A-EX2-17,전기(EV),변경인증,PMY-HD-21-11,2025-04-09,,,,,,
152,현대자동차(주),승용(소형),코나 일렉트릭(N-Line) 19인치,SX2-EV-G7A-EX2-NL-19,전기(EV),변경인증,PMY-HD-21-11,2025-04-09,,,,,,
153,현대자동차(주),승용(소형),코나 일렉트릭(기본형),SX2-EV-G7A-ST2-17,전기(EV),변경인증,PMY-HD-21-12,2025-04-09,,,,,,
154,현대자동차(주),승용(소형),GV70 Electrified 19인치,JK1FL-EV-G7A-19,전기(EV),변경인증,RMY-HD-21-28,2025-04-09,,,,,,
155,현대자동차(주),승용(소형),GV70 Electrified 20인치,JK1FL-EV-G7A-20,전기(EV),변경인증,RMY-HD-21-28,2025-04-09,,,,,,
156,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 19인치 6인,ME1-EV6-G7A-PF4W-19,전기(EV),변경인증,RMY-HD-21-40,2025-04-09,,,,,,
157,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 19인치 7인,ME1-EV7-G7A-PF4W-19,전기(EV),변경인증,RMY-HD-21-40,2025-04-09,,,,,,
158,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 21인치 7인,ME1-EV7-G7A-PF4W-21,전기(EV),변경인증,RMY-HD-21-40,2025-04-09,,,,,,
159,현대자동차(주),승용(소형),아이오닉9 성능형 AWD 21인치 6인,ME1-EV6-G7A-PF4W-21,전기(EV),변경인증,RMY-HD-21-40,2025-04-09,,,,,,
160,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 19인치 7인,ME1-EV7-G7A-LR4W-19,전기(EV),변경인증,RMY-HD-21-41,2025-04-09,,,,,,
161,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 19인치 6인,ME1-EV6-G7A-LR4W-19,전기(EV),변경인증,RMY-HD-21-41,2025-04-09,,,,,,
162,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 21인치 7인,ME1-EV7-G7A-LR4W-21,전기(EV),변경인증,RMY-HD-21-41,2025-04-09,,,,,,
163,현대자동차(주),승용(소형),아이오닉9 항속형 AWD 21인치 6인,ME1-EV6-G7A-LR4W-21,전기(EV),변경인증,RMY-HD-21-41,2025-04-09,,,,,,
164,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 21인치 7인,ME1-EV7-G7A-LR2W-21,전기(EV),변경인증,RMY-HD-21-42,2025-04-09,,,,,,
165,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 21인치 6인,ME1-EV6-G7A-LR2W-21,전기(EV),변경인증,RMY-HD-21-42,2025-04-09,,,,,,
166,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 19인치 7인,ME1-EV7-G7A-LR2W-19,전기(EV),변경인증,RMY-HD-21-42,2025-04-09,,,,,,
167,현대자동차(주),승용(소형),아이오닉9 항속형 RWD 19인치 6인,ME1-EV6-G7A-LR2W-19,전기(EV),변경인증,RMY-HD-21-42,2025-04-09,,,,,,
168,현대자동차(주),승용(소형),GV60 RWD 19인치,JWFL-EV-G7A-ST2-19,전기(EV),변경인증,SMY-HD-21-2,2025-04-09,,,,,,
169,현대자동차(주),승용(소형),GV60 성능형 4WD 21인치,JWFL-EV-G7A-PF4-21,전기(EV),변경인증,SMY-HD-21-3,2025-04-09,,,,,,
170,현대자동차(주),승용(소형),GV60 4WD 20인치,JWFL-EV-G7A-ST4-20,전기(EV),변경인증,SMY-HD-21-4,2025-04-09,,,,,,
171,현대자동차(주),승용(소형),GV60 4WD 19인치,JWFL-EV-G7A-ST4-19,전기(EV),변경인증,SMY-HD-21-4,2025-04-09,,,,,,
172,현대자동차(주),승용(소형),아이오닉6 기본형 RWD 18인치,CE1-EV-G7A-ST2-18D,전기(EV),변경인증,NMY-HD-21-30,2025-04-08,,,,,,
173,현대자동차(주),승용(소형),아이오닉6 항속형 AWD 20인치,CE1-EV-G7A-EX4-20D,전기(EV),변경인증,NMY-HD-21-36,2025-04-08,,,,,,
174,현대자동차(주),승용(소형),아이오닉6 항속형 AWD 18인치,CE1-EV-G7A-EX4-18D,전기(EV),변경인증,NMY-HD-21-36,2025-04-08,,,,,,
175,현대자동차(주),승용(소형),아이오닉6 항속형 RWD 20인치,CE1-EV-G7A-EX2-20D,전기(EV),변경인증,NMY-HD-21-37,2025-04-08,,,,,,
176,현대자동차(주),승용(소형),아이오닉6 항속형 RWD 18인치,CE1-EV-G7A-EX2-18D,전기(EV),변경인증,NMY-HD-21-37,2025-04-08,,,,,,
