총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,,접수대수,,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
경기,성남시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","300
 (70)
 (30)
 (0)
 (60)
 (140)",300,70,30,0,60,140,"235
 (95)
 (34)
 (31)
 (11)
 (64)",235,95,34,31,11,64,65,76,"235
 (95)
 (34)
 (31)
 (11)
 (64)",235,"65
 (0)
 (0)
 (0)
 (49)
 (76)","출고 10일전부터 접수가능합니다(출고증빙서류 첨부 必)

※ 지원신청 마감: 12. 8.(금)
   지급서류 마감: 12. 15(금)-12. 14.(목)이전까지 출고되어야 지급서류 접수 가능합니다.

             
       

공고문 수정: 보급비율 조정, 환수조건 추가
                                           (구매1년이내 차량이면서 1만km이하 차량 매매시 보조금 환수-환수율30%) 

<전기화물차 구매지원신청서 동의서> 서식 변경"
경기,의정부시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","298
 (30)
 (30)
 (0)
 (60)
 (178)",298,30,30,0,60,178,"252
 (106)
 (18)
 (11)
 (29)
 (88)",252,106,18,11,29,88,46,90,"252
 (106)
 (18)
 (11)
 (29)
 (88)",252,"46
 (0)
 (12)
 (0)
 (31)
 (90)","2023년 의정부시 전기자동차 보급사업 안내(3차 모집)

※ (23.11.22.) 화물자동차 물량 마감되었습니다.
※ (23.12.13.) 승용자동차 물량 마감되었습니다.   
※ 23.10.1. 부터 택배물량 및 중소기업 물량이 일반 물량에 통합되어 집행됩니다(23.8.31. 기준 약 40대 분량)
※ 2023.5.1.자 지침 개정으로 1만km 이내 운행+1년 미만 화물차에 대한 환수조건 추가되었습니다.
  (명의이전 시, 사전승인 필요)
ㅇ 3차 모집기간 : 2023. 9. 4.(월) 09:00 ~ 2023. 12. 1.(금) 18:00 (예산 소진 시까지) 
ㅇ 3차 추가 지원대수 : 화물 28대 
ㅇ 선정방법 : 출고등록순
   ▶ 지원신청서 접수순으로 서류검토후 자격부여해드리며, 지원가능확인요청순으로 대상자 선정!!!!◀

  - 전화문의가 많아 오히려 업무처리가 지연될 수 있습니다. 서류심사 및 자격부여까지 2~3일 소요되므로 
    단순 접수 알림, 처리 독촉 문의는 자제 부탁드립니다.
  - 시스템 접수 순으로 서류검토, 대상자 선정 됩니다. (전화로 먼저 처리해 달라고 하지 말아주세요)     
   (서류심사중 보완사항 있을 시 전화 및 문자발송, 자격부여시 문자발송)
 - 기존 시스템 상 신청 내용은 유지하되, 1개월 초과자는 주민등록등본 등 재첨부 바라며, 2개월 초과자는 취소 후 재신청 바랍니다.
※ 기타 자세한 내용은 공고문 참조하여 주시기바랍니다."
경기,안양시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","316
 (30)
 (38)
 (0)
 (83)
 (165)",316,30,38,0,83,165,"203
 (60)
 (26)
 (32)
 (7)
 (78)",203,60,26,32,7,78,113,87,"202
 (60)
 (25)
 (32)
 (7)
 (78)",202,"114
 (0)
 (13)
 (0)
 (76)
 (87)",2023년 안양시 전기자동차 보급사업 마감되었습니다.
경기,부천시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","646
 (64)
 (64)
 (0)
 (128)
 (390)",646,64,64,0,128,390,"411
 (196)
 (37)
 (53)
 (6)
 (119)",411,196,37,53,6,119,235,271,"408
 (196)
 (36)
 (53)
 (6)
 (117)",408,"238
 (0)
 (28)
 (0)
 (122)
 (273)","<2023년 부천시 전기자동차 보급사업>
○ 사업기간 : 2023. 2. 15.(목) 16:00 ~ 11. 30.(예산소진 시 조기종료)
○ 보급대수 : 총 646대(일반 390대, 우선 64대, 택배 등 128대, 중소기업생산 64대)
※ 세부사항 공고문 참조

* 빠른 처리를 위해 단순 접수알림, 처리 독촉 전화는 자제바랍니다.
* 접수 순으로 검토, 대상자 선정됩니다. 전화 독촉 자제바랍니다."
경기,광명시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","30
 (0)
 (0)
 (0)
 (0)
 (30)",30,0,0,0,0,30,"120
 (43)
 (9)
 (19)
 (5)
 (44)",120,43,9,19,5,44,0,0,"120
 (43)
 (9)
 (19)
 (5)
 (44)",120,"0
 (0)
 (0)
 (0)
 (0)
 (0)","○ 접수기간 : 2023.10.16. ~ 예산소진시
○ 보급물량 : 전기화물 30대
○ 선정기준 : 출고등록순
○ 보급대수 제한 : 개인 및 개인사업자 1대, 법인 및 기업 1대(법인 2대 이상은 한국환경공단에 신청)
※ 기타 세부사항은 공고문을 참조하시기 바랍니다
※ 신속한 업무처리를 위해 가능한 전화문의 자제 부탁드립니다."
경기,평택시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","300
 (30)
 (30)
 (0)
 (60)
 (180)",300,30,30,0,60,180,"644
 (73)
 (51)
 (115)
 (50)
 (355)",644,73,51,115,50,355,0,0,"627
 (72)
 (49)
 (113)
 (50)
 (343)",627,"0
 (0)
 (0)
 (0)
 (10)
 (0)","2023년 전기자동차(화물) 하반기 보급사업
신청기간 : 2023.07.14(금) 09:00 ~ 예산 소진시
지원가능확인 요청 가능 기간 : 2023.07.20(목) 09:00 ~
*신청(접수)시작 날짜와 지원가능요청 가능 날짜가 상이하니 확인 요망
* 신청 후 문의 전화로 자격부여 등의 절차가 지연되고 있습니다. 
   접수순으로 자격부여를 해드리오니 문의전화를 지양해주시기 바랍니다. 

지원 대수 : 총 300대(일반 200대/중소기업 25대/택배 50대/우선순의 25대)"
경기,동두천시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","55
 (5)
 (5)
 (0)
 (9)
 (36)",55,5,5,0,9,36,"81
 (9)
 (4)
 (10)
 (8)
 (50)",81,9,4,10,8,50,0,0,"78
 (9)
 (4)
 (8)
 (8)
 (49)",78,"0
 (0)
 (1)
 (0)
 (1)
 (0)","* 2023년 총보급대수 : 승용 184대, 화물 83대
* 신청기준 : 출고등록순
* 신청기간 : 2023.7.7.~2023.12.1.
* 신청자격 : 동두천 거주자(3개월), 동두천 소재 법인 등

● 2023 전기화물 마감"
경기,안산시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","582
 (59)
 (59)
 (0)
 (117)
 (347)",582,59,59,0,117,347,"492
 (45)
 (32)
 (139)
 (25)
 (251)",492,45,32,139,25,251,90,96,"491
 (45)
 (32)
 (139)
 (25)
 (250)",491,"91
 (14)
 (27)
 (0)
 (92)
 (97)","<2023년도 전기자동차 보급사업 공고(4차)>
★지원신청서 서식 변경되었으므로 확인 후 지원 바랍니다★

○ 접수기간 : 2023. 9. 20 (수) 9시 ~ 예산 소진 시까지
○ 추가 보급대수 없음. 잔여물량에 한하여 사업 집행
  - 화물 택배 및 중소기업 생산 전기차 10.4. 부터 통합 집행

○ 보조금액 :화물 최대 1,800만원/대, 특수화물 최대 2,190만원/대
○ 신청대상 : 구매신청서 접수일까지 30일 이상 계속하여 안산시에 주소를 둔 개인 및 법인 등
○ 선정방법 : 출고·등록순에 의한 선정

※ 반드시 공고문을 읽고 신청하여 주시기 바랍니다.

★ 민원 전화 폭주로 업무 처리가 지연되고 있습니다, 자격부여까지는 최대 일주일 걸리니 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 자제바랍니다. 
★ 접수 순으로 검토 및 대상자 선정됩니다. 공정성을 위해 독촉 전화로 절대 먼저 처리하지 않으니 전화 자제 부탁드립니다.
★ 서류 심사 중 보완사항 존재 시, 자격 부여 및 대상자 선정 시 등 각 진행 단계에서 문자 발송 예정"
경기,고양시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","1083
 (109)
 (109)
 (0)
 (217)
 (648)",1083,109,109,0,217,648,"784
 (359)
 (88)
 (112)
 (30)
 (195)",784,359,88,112,30,195,299,453,"784
 (359)
 (88)
 (112)
 (30)
 (195)",784,"299
 (0)
 (21)
 (0)
 (187)
 (453)",2023년 고양시 전기자동차 보급사업 마감되었습니다.
경기,과천시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","32
 (4)
 (4)
 (0)
 (7)
 (17)",32,4,4,0,7,17,"32
 (6)
 (1)
 (4)
 (0)
 (21)",32,6,1,4,0,21,0,0,"32
 (6)
 (1)
 (4)
 (0)
 (21)",32,"0
 (0)
 (3)
 (0)
 (7)
 (0)","<과천시 전기자동차 보급사업>
○ 신청기간: 2023.2.22.(수) 15:00 ~ 예산 소진 시까지
○ 지원금액: 승용 최대 1,030만원(국680, 시350) / 화물 최대 1,900만원(국1,200, 시700)
  ※ 차종별 지원금액 상이하므로 공고문 확인
○ 지원대상: 전기자동차 구매신청일 전일까지 30일 이상 연속(계속)하여 과천시에 주소지를 둔 개인, 법인 기관 등
  ※ 지방세 체납액 및 환경개선부담금 체납액 등이 없는 자에 한해 보조금 지원 가능
○ 선정방법: 차량 출고·등록순
  ※ 서류 제출 시 반드시 원본대조필 날인 (원본우편발송 불필요)"
경기,구리시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","91
 (8)
 (8)
 (0)
 (16)
 (59)",91,8,8,0,16,59,"94
 (16)
 (9)
 (9)
 (3)
 (57)",94,16,9,9,3,57,0,2,"94
 (16)
 (9)
 (9)
 (3)
 (57)",94,"0
 (0)
 (0)
 (0)
 (13)
 (2)",23년 사업물량 소진
경기,남양주시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","373
 (0)
 (0)
 (0)
 (0)
 (373)",373,0,0,0,0,373,"629
 (74)
 (54)
 (138)
 (35)
 (328)",629,74,54,138,35,328,0,45,"619
 (72)
 (53)
 (134)
 (34)
 (326)",619,"0
 (0)
 (0)
 (0)
 (0)
 (47)","○ 신청기간 : 2022. 2. 28.(화) 10:00 ∼ 예산 소진 시 까지 
○ 보급물량 
   - 전기승용차 1,097대
   - 전기화물차 695대 -
  ※ 보조금 차등 지급에 따라 보급 물량은 별도 추가공고 없이 변동될 수 있음
○ 선정방법 : 출고등록순
○ 자세한 세부사항은 2023년도 남양주시 전기자동차 보급사업 공고문 확인"
경기,오산시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","118
 (12)
 (12)
 (0)
 (24)
 (70)",118,12,12,0,24,70,"110
 (10)
 (10)
 (18)
 (20)
 (52)",110,10,10,18,20,52,8,18,"105
 (9)
 (9)
 (18)
 (20)
 (49)",105,"13
 (3)
 (3)
 (0)
 (4)
 (21)","2023년 오산시 하반기 전기자동차 구매지원 사업
★지원신청서 및 지급신청서 서식 변경되었으니 확인 후 신청바람★
- 신청기간 : (승용) 2023.7.24(월) 10:00 ~ 2023.12.01(금) 18:00
                  (화물) 2023.7.14(금) 10:00 ~ 2023.12.01(금) 18:00
- 화물 지원가능확인요청 시작일자 : 2023.07.19.(수) 09:00부터
※ 화물 지원가능확인 요청일자 이전 신청 건은 대상자승인 불가 (별도 통보 없이 자격부여 단계로 변경 예정)
- 보급대수 : 승용 76대, 화물 68대
- 개인 및 개인사업자, 법인 재지원제한기간 내 1대 가능( 법인 2대 이상 구매시 환경공단에 문의바람)

※자세한 사항은 공고문을 참고하여 주시기 바랍니다.

-전기화물차 일반,우선, 중소기업물량 ,택배 모두 소진되었습니다."
경기,시흥시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","495
 (29)
 (29)
 (0)
 (39)
 (398)",495,29,29,0,39,398,"435
 (126)
 (30)
 (115)
 (31)
 (133)",435,126,30,115,31,133,60,265,"435
 (126)
 (30)
 (115)
 (31)
 (133)",435,"60
 (0)
 (0)
 (0)
 (8)
 (265)","★전기화물 전체 마감완료★

<2023년 시흥시 전기자동차(화물)  추경2차 공고>

 ○ 접수기간 
    - 2023. 10. 31.(화) 9:00 ~ 예산 소진 시 까지
       
 ○ 보급물량
   - 추가보급 242대 
   - 우선순위, 중소기업, 택배 등 물량 배정 없이 일반물량으로 통합 진행

 ○ 선정방법
   - 자격부여 : 신청접수순으로 검토
   - 대상자선정 : 지원가능 여부확인 요청순으로 선정"
경기,군포시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","122
 (16)
 (16)
 (0)
 (32)
 (58)",122,16,16,0,32,58,"102
 (16)
 (5)
 (18)
 (8)
 (55)",102,16,5,18,8,55,20,3,"102
 (16)
 (5)
 (18)
 (8)
 (55)",102,"20
 (0)
 (11)
 (0)
 (24)
 (3)","ㅇ 사업기간: 2023. 2. 22. (수) ~ 12. 18. (월) (예산 소진 시 조기마감)
   ※ 12. 18. 18:00 대상자선정 마감, 12. 21. 08:59까지 지급신청 가능한 차량에 한해 보조금 지급 가능
ㅇ 지원규모: (화물) 122대
   ※ 차종별 보조금 차등 지원 및 국비 추가지원, 관용차 지원에 따라 변경 가능
ㅇ 보급대수 제한: (개인) 1인 1대, (법인) 1대
   ※ 출고 10일 전 지원가능확인요청 시스템 입력 후 유선연락 바람(031-390-0542)
   ※ 지급신청 후 원본서류 보내주지 않으셔도 됩니다.
ㅇ 환경부 지침 개정: 전기화물차 1만 km 이상 운행하지 아니하고 최초 등록일로부터 1년 이내에 판매하는 경우 보조금 30% 환수
ㅇ 10월부터 우선순위, 택배, 중소기업생산 잔여 물량을 일반 물량으로 통합하였습니다.

★ 2023년 전기화물차 보조금 접수 마감되었습니다 ★"
경기,의왕시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","100
 (10)
 (10)
 (0)
 (20)
 (60)",100,10,10,0,20,60,"54
 (19)
 (4)
 (12)
 (1)
 (18)",54,19,4,12,1,18,46,42,"54
 (19)
 (4)
 (12)
 (1)
 (18)",54,"46
 (0)
 (6)
 (0)
 (19)
 (42)",
경기,하남시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","254
 (25)
 (25)
 (0)
 (50)
 (154)",254,25,25,0,50,154,"236
 (29)
 (19)
 (45)
 (11)
 (132)",236,29,19,45,11,132,18,22,"221
 (28)
 (19)
 (39)
 (11)
 (124)",221,"33
 (0)
 (6)
 (0)
 (39)
 (30)","<하남시 2023년 하반기 전기자동차 보급사업 추가 물량>
○접수기간
 -  2023. 11. 17. ~ 2023. 12. 1.까지 대상자 선정 
○보급대수 
 - 승용 : 36대
 - 화물 : 10대
○ 보급차종 : 무공해차 통합누리집 참조 
○ 대상자선정 : 출고·등록순(지원가능확인요청순)
※ 기타 자세한 사항은 공고문 참조
※※ 민원전화 폭주로 업무처리가 지연되고 있으니, 빠른 처리를 위해 가능한 전화문의 자제 부탁드립니다. 
※※※지급신청 후 원본 서류 안받습니다.
(서류심사 중 보완사항 있을시 문자 발송예정/ 자격부여, 대상자선정 시에도 문자 발송예정)"
경기,용인시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","795
 (0)
 (0)
 (0)
 (0)
 (795)",795,0,0,0,0,795,"532
 (124)
 (85)
 (112)
 (32)
 (179)",532,124,85,112,32,179,263,616,"520
 (123)
 (83)
 (110)
 (31)
 (173)",520,"275
 (0)
 (0)
 (0)
 (0)
 (622)","2023년 ★하반기★ 전기자동차(승용·화물) 보급사업

○ 승용 : 마감(11/21소진)/ 화물 : 12/13일(수)까지 접수,  12/15(금)까지 지급신청 

○ 대상자 선정기준 : 출고·등록순

○ 대수제한
- 개인 및 개인사업자 : 개인당 1대(용인시 3개월 이상 거주)
- ★★개인사업자는 사업장 주소와 관계없이 등본상 주소지가 용인이면 가능★★
- 법인 : 1대(2대이상 구매는 환경공단 문의 1661-0970)

★ 처리 독촉 전화 자제 및 독촉 전화와 관계없이 공정하게 선착순으로 서류 심사 진행
※ 출고 전 잔여물량 확인 필수
※ 기타 문의사항 : 용인시청 기후대기과 (☎031-324-3155) 문의"
