총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,,접수대수,,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
경기,성남시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","250
 (75)
 (25)
 (0)
 (50)
 (100)",250,75,25,0,50,100,"88
 (42)
 (22)
 (7)
 (5)
 (12)",88,42,22,7,5,12,162,88,"88
 (42)
 (22)
 (7)
 (5)
 (12)",88,"162
 (33)
 (3)
 (0)
 (45)
 (88)",
경기,의정부시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","332
 (34)
 (34)
 (0)
 (67)
 (197)",332,34,34,0,67,197,"122
 (56)
 (13)
 (3)
 (45)
 (5)",122,56,13,3,45,5,210,192,"122
 (56)
 (13)
 (3)
 (45)
 (5)",122,"210
 (0)
 (21)
 (0)
 (22)
 (192)","※ 전기화물차의 경우 잔여 예산 내에서 마감일 이후에도 신청 가능합니다(2024.12.20.까지 출고등록 및 보조금 지급신청이 가능한 차량에 한함) 

※ 포터, 봉고 등 제조사 가격할인에 따른 추가 보조금 지원 대상의 차종의  경우, 가격할인 내역이 표시되는 계약서로 제출바랍니다!!

2024년 의정부시 전기자동차 보급사업 안내
ㅇ모집기간: 2024. 2. 29.(목) 09:00 ~ 2024. 12. 6.(금) 18:00 (예산 소진 시까지)
* 24년 지침 변경 내용이 시스템에 반영되지 않아 화물차량 처리가 지연되고 있습니다.
   시스템 업데이트(2024.3.8.예정) 이후 처리가 가능하니 양해 부탁드립니다. 
 
ㅇ모집대수: 승용 515대 화물 332대 
ㅇ 선정방법 : 출고등록순
   ▶ 지원신청서 접수순으로 서류검토후 자격부여해드리며, 지원가능확인요청순으로 대상자 선정!!!!◀
  - 전화문의가 많아 오히려 업무처리가 지연될 수 있습니다. 서류심사 및 자격부여까지 2~3일 소요되므로 
    단순 접수 알림, 처리 독촉 문의는 자제 부탁드립니다.
  - 시스템 접수 순으로 서류검토, 대상자 선정 됩니다. (전화로 먼저 처리해 달라고 요청하셔도 불가합니다)     
   (서류심사중 보완사항 있을 시 전화 및 문자발송, 자격부여시 문자발송)
 ※ 기타 자세한 내용은 공고문 참조하여 주시기바랍니다."
경기,안양시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","191
 (20)
 (20)
 (0)
 (39)
 (112)",191,20,20,0,39,112,"58
 (25)
 (14)
 (5)
 (5)
 (9)",58,25,14,5,5,9,133,103,"58
 (25)
 (14)
 (5)
 (5)
 (9)",58,"133
 (0)
 (6)
 (0)
 (34)
 (103)","○ 하반기 사업기간 : 2024. 7. 8.(월) 09:00 ~ 2024. 12. 13.(금) 18:00
    - 마감일('24.12.13.)까지 대상자 확정된 건에 한하여 보조금 지급
○ 보급대수 : 총 1,184대(승용 1,008대, 화물 176대)
○ 지원대상 : 접수일 기준 연속하여 안양시에 30일 이상 주소를 둔 자

 ※※※ 보조금 지급신청 서류 우편발송 불필요함을 알려드립니다 ※ ※ ※"
경기,부천시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","120
 (0)
 (0)
 (0)
 (0)
 (120)",120,0,0,0,0,120,"122
 (76)
 (18)
 (4)
 (8)
 (16)",122,76,18,4,8,16,0,104,"121
 (76)
 (18)
 (4)
 (8)
 (15)",121,"0
 (0)
 (0)
 (0)
 (0)
 (105)","* 24. 11. 8. 예산 소진 마감
* 취소물량 발생 시 기존 신청건에 한하여 ""지원가능확인요청 시간"" 순으로 연락 예정

□ 사업개요
○ 보급대수: 245대(승용 175대, 화물 70대)
   ※ 전체 잔여량 공고(상반기 잔여물량 + 하반기 물량)
   ※ 우선순위 구분 없이 일반물량 통합 집행
   ※ 차종별 보조금 차등지원에 따라 보급대수는 조정될 수 있음
○ (지원신청기간) 2024. 7. 17.(수) ~ (예산소진 시 조기종료)

   ※ 기타 자세한 사항은 공고문 참조"
경기,광명시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","150
 (0)
 (0)
 (0)
 (0)
 (150)",150,0,0,0,0,150,"45
 (27)
 (4)
 (6)
 (1)
 (7)",45,27,4,6,1,7,105,143,"45
 (27)
 (4)
 (6)
 (1)
 (7)",45,"105
 (0)
 (0)
 (0)
 (0)
 (143)","2024년도 전기화물차 구매보조금을 지원하고자 아래와 같이 공고합니다.(2차)

○ 사업 개요
  - 사업명 : 2024년 전기승용차 보급사업
  - 보급대수 : 130대
  - 접수기간 : 2024. 2. 23.(금) ~ 예산 소진 시까지
  - 지원대상 : 신청일 기준 30일 이상 광명시에 주소를 둔 자
    · (개인) 만 18세 이상 시민
    · (개인사업자) 대표자가 광명시에 주소지를 둔 사업자
    · (법인, 기관) 광명시 내 사업장(본사, 지사, 공장, 자동차 대여사업소 등)이 위치한 법인 및 기업
  - 보급기준 : 1대

※ 자세한 내용은 공고문을 참고하시기 바라며, 단순 전화 문의는 자제해 주시기 바랍니다."
경기,평택시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","599
 (60)
 (60)
 (0)
 (120)
 (359)",599,60,60,0,120,359,"224
 (88)
 (21)
 (34)
 (32)
 (49)",224,88,21,34,32,49,375,310,"223
 (87)
 (21)
 (34)
 (32)
 (49)",223,"376
 (0)
 (39)
 (0)
 (88)
 (310)",
경기,동두천시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","56
 (6)
 (6)
 (0)
 (12)
 (32)",56,6,6,0,12,32,"25
 (8)
 (0)
 (0)
 (1)
 (16)",25,8,0,0,1,16,31,16,"25
 (8)
 (0)
 (0)
 (1)
 (16)",25,"31
 (0)
 (6)
 (0)
 (11)
 (16)","1. 접수기간 : (하반기) 2024. 7. 2.(화) 09:00 ~ 2024. 12. 6.(금) 18:00
 ※ 예산 소진 시 조기마감
2. 사 업 량 : 총 256대 (전기승용 211대, 전기화물 45대)
3. 신청자격 : 구매지원신청서 접수일 기준 1개월 이상 연속하여 동두천시에 주소를 둔
  - 개인 / 개인사업자 / 법인 / 외국인 / 기관
4. 자세한 내용은 동두천시 공고 제2024-1187호 참고
 ※ 24. 7. 29. 공고 이후 신청 건은 반드시 변경된 서식 및 동의서로 제출"
경기,안산시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","220
 (0)
 (0)
 (0)
 (0)
 (220)",220,0,0,0,0,220,"146
 (63)
 (15)
 (20)
 (12)
 (36)",146,63,15,20,12,36,74,184,"144
 (62)
 (15)
 (20)
 (12)
 (35)",144,"76
 (0)
 (0)
 (0)
 (0)
 (185)","※※※※※ 승용 · 화물 신청접수 마감 ※※※※※

<2024년도 전기자동차 보급사업 공고(1차)>
○ 접수기간 : 2024. 7. 3. (수) 9시 ~ 예산 소진 시까지
  - 화물 택배 및 중소기업 생산 전기차 7.1. 부터 통합 집행
○ 보조금액 : 화물 최대 1,622만원/대, 특수화물 최대 2,240만원/대
○ 신청대상 : 구매신청서 접수일까지 30일 이상 계속하여 안산시에 주소를 둔 개인 및 법인 등
○ 선정방법 : 출고·등록순에 의한 선정

※ 반드시 공고문을 읽고 신청하여 주시기 바랍니다.

★ 민원 전화 폭주로 업무 처리가 지연되고 있습니다, 자격부여까지는 최대 7일 소요되니 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 자제부탁드립니다.
★ 접수 순으로 검토 및 대상자 선정됩니다. 공정성을 위해 독촉 전화로 절대 먼저 처리하지 않으니 전화 자제 부탁드립니다.
★ 서류 심사 중 보완사항 존재 시, 자격 부여 및 대상자 선정 시 등 각 진행 단계"
경기,고양시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","665
 (112)
 (112)
 (0)
 (224)
 (217)",665,112,112,0,224,217,"293
 (165)
 (47)
 (22)
 (20)
 (39)",293,165,47,22,20,39,372,178,"293
 (165)
 (47)
 (22)
 (20)
 (39)",293,"372
 (0)
 (65)
 (0)
 (204)
 (178)","2024년 고양시 전기자동차 민간보급사업 안내

□ 전기자동차 민간 보급사업 개요
ㅇ 접수기간 : 2024. 2. 28.  ~ 2024. 12. 17.
  - 접수 마감일은 2024. 12. 17.(화) 18:00이며, 접수 마감일까지 차량 출고, 등록 및 지급신청이 완료된 차량에 대해서만 보조금 지급
ㅇ 보급대수 : 총 4,672대 (전기승용 3,557대, 전기화물 1,113대, 전기승합 2대)
    ※ 보급물량 추가 : 승용 1,557대, 화물 413대
    ※ 이번 추가되는 물량은 2024. 7. 1.(월) 09:00부터 보급 추진하며, 기존 공고에 따른 잔여 물량에 합산하여 연속적으로 보급
ㅇ 신청대상 : 구매지원 신청일 기준 30일 이상 계속하여 고양시에 주소를 둔 만 18세 이상 개인, 개인사업자 및 법인
ㅇ 신청방법 : 환경부 무공해차 구매보조금 시스템(http://www.ev.or.kr/ps)으로 신청
  ※ 관련 모든 서류는 원본대조필 날인 후, 시스템에 1개의 파일(통합)로 스캔하여 첨부 신청
ㅇ 대상자 선정기준 : 출고·등록순
ㅇ 보급대수 제한 : 개인, 사업장 당 1대

□ 전기자동차 민간보급사업 주요 변경내용
 ㅇ 보조금 재지원제한기간 변경
  - (기존) 승용, 승합 2년 / 화물 5년 → (변경) 승용, 승합, 화물 2년
 ㅇ 전기화물차 의무운행기간 내 매매 시 환수 기준 변경(2024. 7. 26. 보조금 신청 건부터 적용)
  - (기존) 1만 km 이상 운행하지 아니하고 최초 등록한 날부터 1년 이내에 판매 
  - (변경) 2만 km 이상 운행하지 아니하고 최초 등록한 날부터 2년 이내에 판매

자세한 내용은 공고문을 참조하시기 바랍니다."
경기,과천시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","28
 (3)
 (3)
 (0)
 (6)
 (16)",28,3,3,0,6,16,"12
 (7)
 (0)
 (1)
 (1)
 (3)",12,7,0,1,1,3,16,13,"12
 (7)
 (0)
 (1)
 (1)
 (3)",12,"16
 (0)
 (3)
 (0)
 (5)
 (13)","<2024년 하반기(2차) 전기자동차 보급사업 안내>
● 접수기간 : 2024. 7. 1.(월) ~ 2024. 12. 13.(금) 18:00
● 상반기 전기화물 보급대수 : 화물 22대
● 신청대상 : 지원신청일로부터 30일 이상 과천시에 주소를 둔 자
● 모든 제출서류 내 원본대조필 날인(원본 우편 발송 불필요)"
경기,구리시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","110
 (11)
 (11)
 (0)
 (22)
 (66)",110,11,11,0,22,66,"50
 (26)
 (5)
 (3)
 (3)
 (13)",50,26,5,3,3,13,60,53,"46
 (26)
 (3)
 (3)
 (3)
 (11)",46,"64
 (0)
 (8)
 (0)
 (19)
 (55)","□ 2024년 하반기 구리시 전기자동차(승용화물) 보급사업 변경공고(2차)
 ○ 접수기간 : 2024. 7. 8.(월) ~ 12. 6.(금)
    * 접수기간 내 예산소진 시 조기 마감될 수 있음.
    * 사업의 원활한 집행을 위해 2024. 12. 13.(금)까지 출고 및 차량등록 완료하고 지급신청까지 가능한 차량에 대해서만 지원 가능
 ○ 잔여물량 (2024. 11. 6.자 기준)
    - 승용 : 140대
    - 화물 :   60대
 ○ 신청대상 : 지원신청서 접수일 기준 연속 3개월 이상 구리시에 주소를 둔자
 ○ 선정기준 : 출고·등록순
 ○ 그외 기타사항은 공고문 참고

※ 주요 변경사항 안내
  - 전기승용차 : 다자녀가구 추가지원 관련 규정
  (기존)  다자녀가구에 해당하는 개인이 구매 시 해당 차량 국비 지원액의 10% 추가 지원
  (변경) 다자녀가구(18세 이하 자녀 2명 이상)에 해당하는 개인이 구매 시 자녀 수에 따라 국비 최대 300만원* 추가지원
           * (2자녀) 100만원 / (3자녀) 200만원 / (4자녀 이상) 300만원"
경기,남양주시,전기화물,"*일반: 접수순(초과시 출고등록순)
*우선: 접수순(초과시 출고등록순)","400
 (0)
 (0)
 (0)
 (0)
 (400)",400,0,0,0,0,400,"277
 (131)
 (43)
 (25)
 (13)
 (65)",277,131,43,25,13,65,123,335,"277
 (131)
 (43)
 (25)
 (13)
 (65)",277,"123
 (0)
 (0)
 (0)
 (0)
 (335)","* 접수 마감되었습니다. 
○ 하반기 신청기간 : 2024. 7. 1.(월) 10:00 ∼ 예산소진시

○ 2024년 보급물량 
   - 전기승용차 1000대
   - 전기화물차 400대
  ※ 보조금 차등 지급에 따라 보급 물량은 별도 추가공고 없이 변동될 수 있음

○ 선정방법 : (자격부여) 신청서 접수순 / (대상자 선정) 출고등록순

○ 자세한 세부사항은 2024년도 남양주시 전기자동차 보급사업(하반기) 공고문 확인"
경기,오산시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","130
 (0)
 (0)
 (0)
 (0)
 (130)",130,0,0,0,0,130,"97
 (15)
 (6)
 (16)
 (18)
 (42)",97,15,6,16,18,42,33,88,"97
 (15)
 (6)
 (16)
 (18)
 (42)",97,"33
 (0)
 (0)
 (0)
 (0)
 (88)","2024년 오산시 하반기 전기자동차 구매지원 사업
- 신청기간 : 2024. 7. 17.(수) 10:00 ~ 2024. 12. 6.(금) 18:00
- 지원가능확인요청 단계 시작일자 : 2024. 7. 18.(목) 10:00부터
※ 지원가능확인 요청일자 이전 신청 건은 대상자승인 불가 (별도 통보 없이 자격부여 단계로 변경 예정)
- 보급대수 : 승용 197대, 화물 123대
- 개인 및 개인사업자, 법인 재지원제한기간 내 1대 가능( 법인 및 개인사업자 2대 이상 구매시 환경공단에 문의 바람)
- 3/4분기 부터는 별도배정 물량을 일반물량으로 통합하여 진행"
경기,시흥시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","316
 (0)
 (0)
 (0)
 (0)
 (316)",316,0,0,0,0,316,"189
 (84)
 (19)
 (29)
 (13)
 (44)",189,84,19,29,13,44,127,272,"189
 (84)
 (19)
 (29)
 (13)
 (44)",189,"127
 (0)
 (0)
 (0)
 (0)
 (272)","시흥시에서 추진하는 「2024년 시흥시 전기자동차 보급사업」이 회계연도 마감 등의 사유로 아래와 같이 마감됨을 알려드립니다.

 ㅇ 사   업   명 : 2024년 시흥시 전기자동차 보급사업
 ㅇ 접수 마감일 : 2024. 12. 12.(목) 18:00
 ㅇ 지급신청 마감일: 2024. 12. 17.(화) 18:00

  - 환경부 무공해차 구매보조금 시스템 기준
  - 지급신청 마감일까지 차량 출고, 등록 및 지급신청이 완료된 차량에 대해서만 보조금 지급이 가능하며, 마감일 이후 지급신청 건에 대해서는 보조금 미지원
  - 환경부 무공해차 구매보조금 시스템 상 ‘지원가능 확인 요청’시 전기자동차 제조·수입사에서는 차량 출고(배정) 또는 등록서류 등 관련 증빙자료를 첨부해야 하며, 시흥시는 차량 출고 또는 등록 예정일 확인 후 대상자 선정
  - 기한 미준수 사유 등에 따른 보조금 지급 불가로 인한 불이익은 시흥시가 책임을 지지 않음


2024.7.26. 기준 2024년 전기자동차 보급사업 보조금 업무처리지침 변경으로 인해 
전기차 보조금 지급 신청 유의사항 동의서 서식이 변경되었습니다.
7.26. 이후 신청건은 변경공고에 첨부된 서식으로 작성, 첨부바랍니다


★ 모든 서류에 원본대조필 날인 후 1개의 pdf파일로 첨부 바랍니다(원본 우편제출 불필요)★
★ 추가보조금 차량, 차종별로 보조금 상이 등으로 전산 상 표시된 잔여대수와 실제 예산내 보급대수는 다릅니다!!!!★"
경기,군포시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","95
 (10)
 (10)
 (0)
 (19)
 (56)",95,10,10,0,19,56,"25
 (16)
 (4)
 (3)
 (0)
 (2)",25,16,4,3,0,2,70,54,"25
 (16)
 (4)
 (3)
 (0)
 (2)",25,"70
 (0)
 (6)
 (0)
 (19)
 (54)","※ 잔여대수 4대 
★ 마감안내 
  지원신청  2024. 12. 16.(월) 18:00까지  
  지급신청  2024. 12. 18.(수) 18:00까지
 ※ '24.7.26. 지침변경에 따라 서식1 신청서가 변경되었습니다.  

ㅇ 사업기간: 2024. 7. 1. (월) 09:00 ~ 12.16. (월) 18:00 (하반기)
ㅇ 지원규모: (화물) 83대
   ※ 차종별 보조금 차등 지원 및 국비 추가지원, 관용차 지원에 따라 변경 가능
ㅇ 보급대수 제한: (개인) 1인 1대, (법인) 1대
   ※ 출고 10일 전 지원가능확인요청 시스템 입력 후 유선연락 바람(031-390-0542)
   ※ 지급신청 후 원본서류 보내주지 않으셔도 됩니다."
