제작사 또는 수입사,모델명,에너지소비효율(km/L),배기량(cc),타이어형식(전),구동방식,적용일자,제외일자
현대자동차,아이오닉 1.6 GDI 하이브리드,22.4,"1,580",195/65R15,전륜구동,2016-01-12,
현대자동차,아이오닉 1.6 GDI 하이브리드,20.2,"1,580",225/45R17,전륜구동,2016-01-12,
현대자동차,코나 1.6 하이브리드,19.3,"1,580",205/60R16,전륜구동,2019-09-03,
현대자동차,코나 1.6 하이브리드,17.4,"1,580",225/45R18,전륜구동,2019-09-03,
현대자동차,코나 1.6 하이브리드,19.8,"1,580",215/60R17,전륜구동,2023-03-13,
현대자동차,코나 1.6 하이브리드,18.1,"1,580",215/55R18,전륜구동,2023-03-13,
현대자동차,코나 1.6 하이브리드 빌트인캠,18.9,"1,580",215/60R17,전륜구동,2023-03-13,
현대자동차,투싼 하이브리드,16.2,"1,598",235/60R18,전륜구동,2020-09-21,
현대자동차,투싼 하이브리드,15.8,"1,598",235/55R19,전륜구동,2021-07-09,
현대자동차,투싼 하이브리드 빌트인캠,15.8,"1,598",235/60R18,전륜구동,2020-09-21,
현대자동차,투싼 하이브리드 빌트인캠,15.3,"1,598",235/55R19,전륜구동,2021-07-09,
현대자동차,투싼 하이브리드 4WD,15.3,1598,235/60R18,4륜구동,2022-09-16,
현대자동차,투싼 하이브리드 4WD,14.9,"1,598",235/60R18,4륜구동,2022-09-16,
현대자동차,투싼 하이브리드 4WD,15.1,1598,235/55R19,4륜구동,2022-09-16,
현대자동차,투싼 하이브리드 4WD,14.7,1598,235/55R19,4륜구동,2022-09-16,
현대자동차,더 뉴 투싼 하이브리드,16.2,1598,235/65R17,전륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,15.7,1598,235/65R17,전륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,16.2,1598,235/60R18,전륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,15.7,1598,235/60R18,전륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,14.9,1598,235/55R19,전륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,14.7,1598,235/65R17,4륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,14.7,1598,235/60R18,4륜구동,2023-11-30,
현대자동차,더 뉴 투싼 하이브리드,14.3,1598,235/55R19,4륜구동,2023-11-30,
현대자동차,싼타페 하이브리드 2WD,15.3,"1,598",235/65R17,전륜구동,2021-07-09,
현대자동차,싼타페 하이브리드 2WD,15.0,"1,598",235/65R17,전륜구동,2021-07-09,
현대자동차,싼타페 하이브리드 2WD,14.3,"1,598",235/55R19,전륜구동,2021-07-09,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,15.5,1598,235/60R18,전륜구동,2023-09-27,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,15.0,1598,235/60R18,전륜구동,2023-09-27,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,15.5,1598,235/60R18,전륜구동,2023-09-27,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,15.0,1598,235/60R18,전륜구동,2023-09-27,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,15.5,1598,235/60R18,전륜구동,2023-09-27,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,15.0,1598,235/60R18,전륜구동,2023-09-27,
현대자동차,디 올 뉴 싼타페 하이브리드 2WD,14.4,1598,255/45R20,전륜구동,2024-09-13,
현대자동차,팰리세이드 하이브리드,13.9,2497,235/65R18,전륜구동,2025-04-14,
현대자동차,팰리세이드 하이브리드,14.1,2497,235/65R18,전륜구동,2025-04-14,
현대자동차,팰리세이드 하이브리드,13.9,2497,235/65R18,전륜구동,2025-04-14,
현대자동차,팰리세이드 하이브리드,14.1,2497,235/65R18,전륜구동,2025-04-14,
기아,포르테 1.6 LPI 하이브리드,17.8,"1,591",185/65R15,전륜구동,2009-07-14,
기아,포르테 1.6 LPI 하이브리드,14.0,"1,591",185/65R15,전륜구동,2009-07-14,
기아,K5 2.0 TF 하이브리드,21.0,"1,999",205/65R16,전륜구동,2011-05-06,
기아,K5 2.0 TF 하이브리드,16.8,"1,999",215/55R17,전륜구동,2011-05-06,
기아,K5 2.0 JF 하이브리드,18.2,"1,999",205/65R16,전륜구동,2011-05-06,
기아,K5 2.0 JF 하이브리드,17.7,"1,999",215/55R17,전륜구동,2011-05-06,
기아,K5 2.0 JF 하이브리드,17.5,"1,999",205/65R16,전륜구동,2019-12-06,
기아,K5 2.0 JF 하이브리드,17.0,"1,999",215/55R17,전륜구동,2019-12-06,
기아,K5 2.0 JF 하이브리드,18.0,"1,999",205/65R16,전륜구동,2019-12-06,
기아,K5 2.0 JF 하이브리드,17.2,"1,999",215/55R17,전륜구동,2019-12-06,
기아,K5 2.0 DL3 하이브리드,20.1,"1,999",205/65R16,전륜구동,2019-12-06,
기아,K5 2.0 DL3 하이브리드,19.1,"1,999",215/55R17,전륜구동,2019-12-06,
기아,K5 2.0 DL3 하이브리드,18.0,"1,999",235/45R18,전륜구동,2019-12-06,
기아,K5 2.0 DL3 하이브리드 빌트인캠,19.7,"1,999",205/65R16,전륜구동,2019-12-06,
기아,K5 2.0 DL3 하이브리드 빌트인캠,18.8,"1,999",215/55R17,전륜구동,2019-12-06,
기아,K5 2.0 DL3 하이브리드 빌트인캠,17.6,"1,999",235/45R18,전륜구동,2019-12-06,
기아,더 뉴 K5 하이브리드,19.8,1999,205/65R16,전륜구동,2023-11-30,
기아,더 뉴 K5 하이브리드,19.2,1999,205/65R16,전륜구동,2023-11-30,
기아,더 뉴 K5 하이브리드,18.8,1999,215/55R17,전륜구동,2023-11-30,
기아,더 뉴 K5 하이브리드,18.2,1999,215/55R17,전륜구동,2023-11-30,
기아,더 뉴 K5 하이브리드,17.1,1999,235/45R18,전륜구동,2023-11-30,
기아,K7 2.4 VG 하이브리드,16.0,"2,359",225/55R17,전륜구동,2013-12-23,
기아,K7 2.4 VG 하이브리드,16.2,"2,359",225/55R17,전륜구동,2019-11-20,
기아,K7 2.4 YG 하이브리드,15.2,"2,359",245/45R18,전륜구동,2019-11-20,
기아,니로 1.6 GDI 하이브리드,19.5,"1,580",205/60R16,전륜구동,2016-03-31,
기아,니로 1.6 GDI 하이브리드,17.1,"1,580",225/45R18,전륜구동,2016-03-31,
기아,니로 1.6 GDI 하이브리드,20.8,1580,205/60R16,전륜구동,2022-01-10,
기아,니로 1.6 GDI 하이브리드,20.5,1580,205/60R16,전륜구동,2022-01-10,
기아,니로 1.6 GDI 하이브리드,19.1,1580,225/45R18,전륜구동,2022-01-10,
기아,니로 1.6 GDI 하이브리드,18.8,1580,225/45R18,전륜구동,2022-01-10,
기아,K8 1.6T GDI 하이브리드,18.0,"1,598",225/55R17,전륜구동,2021-05-03,
기아,K8 1.6T GDI 하이브리드,17.6,"1,598",225/55R17,전륜구동,2021-05-03,
기아,K8 1.6T GDI 하이브리드,17.1,"1,598",245/45R18,전륜구동,2021-05-03,
기아,K8 1.6T GDI 하이브리드,16.8,"1,598",245/45R18,전륜구동,2021-05-03,
기아,더 뉴 K8 하이브리드,18.1,1598,225/55R17,전륜구동,2024-09-13,
기아,더 뉴 K8 하이브리드,17.2,1598,245/45R18,전륜구동,2024-09-13,
기아,더 뉴 K8 하이브리드,16.7,1598,245/45R18,전륜구동,2024-09-13,
기아,더 뉴 K8 하이브리드,16.1,1598,245/40R19,전륜구동,2024-09-13,
기아,스포티지 하이브리드,16.7,"1,598",235/60R18,전륜구동,2021-07-09,
기아,스포티지 하이브리드,16.3,"1,598",235/60R18,전륜구동,2021-07-09,
기아,스포티지 하이브리드,15.2,"1,598",235/60R18,4륜구동,2021-09-29,
기아,스포티지 하이브리드,14.8,"1,598",235/60R18,4륜구동,2021-09-29,
기아,더 뉴 스포티지 하이브리드,16.3,"1,598",235/60R18,전륜구동,2024-11-22,
기아,더 뉴 스포티지 하이브리드,15.8,"1,598",235/60R18,전륜구동,2024-11-22,
기아,더 뉴 스포티지 하이브리드,15.6,"1,598",235/55R19,전륜구동,2024-11-22,
기아,더 뉴 스포티지 하이브리드,14.7,"1,598",235/60R18,4륜구동(상시),2024-11-22,
기아,더 뉴 스포티지 하이브리드,14.3,"1,598",235/55R19,4륜구동(상시),2024-11-22,
기아,쏘렌토 하이브리드 2WD,15.3,"1,598",235/65R17,전륜구동,2021-07-09,
기아,쏘렌토 하이브리드 2WD,15.0,"1,598",235/65R17,전륜구동,2021-07-09,
기아,쏘렌토 하이브리드 2WD,14.3,"1,598",235/55R19,전륜구동,2021-07-09,
기아,더 뉴 쏘렌토 하이브리드 2WD,15.7,1598,235/65R17,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,15.3,1598,235/65R17,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,15.7,1598,235/60R18,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,15.3,1598,235/60R18,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,14.8,1598,235/65R17,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,14.8,1598,235/60R18,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,14.8,1598,235/65R17,전륜구동,2023-08-16,
기아,더 뉴 쏘렌토 하이브리드 2WD,14.8,1598,235/60R18,전륜구동,2023-08-16,
기아,쏘렌토 하이브리드,14.8,1598,235/55R19,전륜구동,2025-06-27,
기아,쏘렌토 하이브리드,14.8,1598,235/55R19,전륜구동,2025-06-27,
기아,쏘렌토 하이브리드,14.8,1598,235/55R19,전륜구동,2025-06-27,
HONDA,"CIVIC HYBRID(1,339 cc)",23.2,"1,339",195/65R15,전륜구동,2009-06-29,
HONDA,"CIVIC HYBRID(1,497 cc)",24.7,"1,497",195/65R15,전륜구동,2011-05-06,
HONDA,"CIVIC HYBRID(1,497 cc)",18.9,"1,497",195/65R15,전륜구동,2011-05-06,
HONDA,"INSIGHT(1,339 cc)",23.0,"1,339",175/65R15,전륜구동,2010-10-29,
HONDA,"CR-Z 하이브리드(1,497 cc)",20.6,"1,497",195/55R16,전륜구동,2011-10-13,
HONDA,"ACCORD HYBRID(1,993 cc)",19.3,"1,993",225/50R17,전륜구동,2017-01-06,
HONDA,"ACCORD HYBRID(1,993 cc)",18.9,"1,993",225/50R17,전륜구동,2017-01-06,
HONDA,"ACCORD HYBRID(1,993 cc)",17.5,"1,993",235/40R19,전륜구동,2017-01-06,
HONDA,"ACCORD HYBRID(1,993 cc)",16.7,1993,235/40R19,전륜구동,2023-09-27,
HONDA,"CR-V HYBRID 4WD(1,993 cc)",14.5,"1,993",235/60R18,4륜구동,2020-11-09,
HONDA,"CR-V HYBRID 4WD(1,993 cc)",14.5,"1,993",235/55R19,4륜구동,2020-11-09,
HONDA,"CR-V HYBRID 2WD(1,993 cc)",15.1,1993,235/55R19,전륜구동,2023-10-31,
Lexus,"CT200h(1,798 cc)",25.4,"1,798",215/45R17,전륜구동,2011-02-08,
Lexus,"CT200h(1,798 cc)",18.1,"1,798",215/45R17,전륜구동,2011-02-08,
Lexus,"CT200h(1,798 cc)",17.0,"1,798",215/45R17,전륜구동,2011-02-08,
Lexus,"ES300h(2,494 cc)",16.4,"2,494",215/55R17,전륜구동,2012-08-28,
Lexus,"ES300h(2,494 cc)",14.9,"2,494",215/55R17,전륜구동,2012-08-28,
Lexus,"ES300h(2,487 cc)",17.0,"2,487",235/45R18,전륜구동,2018-09-14,
Lexus,"ES300h(2,487 cc)",17.2,"2,487",235/45R18,전륜구동,2018-09-14,
Lexus,"ES300h(2,487 cc)",16.8,"2,487",235/40R19,전륜구동,2021-11-26,
Lexus,"ES300h(2,487 cc)",16.8,"2,487",235/40R19,전륜구동,2022-09-16,
Lexus,"UX250h(1,987 cc)",16.7,1987,215/60R17,전륜구동,2019-02-20,
Lexus,"UX250h(1,987 cc)",16.7,"1,987",225/50R18,전륜구동,2019-02-20,
Lexus,"UX250h(1,987 cc)",15.9,"1,987",225/50R18,4륜구동,2019-02-20,
Lexus,"UX250h(1,987 cc)",15.0,"1,987",225/50R18,4륜구동,2019-02-20,
Lexus,UX300h,18.0,1987,215/60R17,전륜구동,2024-08-09,
Lexus,UX300h,18.0,1987,225/50R18,전륜구동,2024-08-09,
Lexus,"NX350h(2,487 cc)",14.0,2487,235/50R20,4륜구동,2022-04-14,
Lexus,"NX350h(2,487 cc)",14.0,2487,235/50R20,4륜구동,2023-04-10,
Lexus,RX350h,14.7,2487,235/60R19,4륜구동(상시),2025-02-25,
토요타,"Prius(1,798 cc)",29.2,"1,798",215/45R17,전륜구동,2009-10-19,
토요타,"Prius(1,798 cc)",21,1798,195/65R15,전륜구동,2009-10-19,
토요타,"Prius(1,798 cc)",21.0,"1,798",215/45R17,전륜구동,2009-10-19,
토요타,"PRIUS(1,798 cc)",21.9,"1,798",195/65R15,전륜구동,2009-10-19,
토요타,"Prius(1,798 cc)",22.4,"1,798",195/65R15,전륜구동,2009-10-19,
토요타,"Prius(1,798 cc)",20.9,"1,798",195/65R15,4륜구동,2009-10-19,
토요타,Prius AWD,20.0,1987,195/50R19,4륜구동,2023-09-27,
토요타,Prius 2WD,20.9,1987,195/60R17,전륜구동,2023-09-27,
토요타,Prius 2WD,20.9,1987,195/50R19,전륜구동,2023-09-27,
토요타,"Camry Hybrid(2,362 cc)",19.7,"2,362",215/60R16,전륜구동,2009-07-14,
토요타,"Camry Hybrid(2,487 cc)",16.7,"2,487",235/45R18,전륜구동,2017-09-22,
토요타,"Camry Hybrid(2,487 cc)",17.5,"2,487",215/55R17,전륜구동,2017-09-22,
토요타,"Camry Hybrid(2,487 cc)",18.5,"2,487",215/55R17,전륜구동,2017-09-22,
토요타,"Camry Hybrid(2,487 cc)",17.1,"2,487",235/45R18,전륜구동,2017-09-22,
토요타,"Camry Hybrid(2,487 cc)",17.1,"2,487",235/45R18,전륜구동,2022-10-19,
토요타,"Camry Hybrid(2,487 cc)",17.1,2487,235/45R18,전륜구동,2024-11-22,
토요타,"Camry Hybrid(2,494 cc)",23.6,"2,494",215/55R17,전륜구동,2011-12-29,
토요타,"Camry Hybrid(2,494 cc)",16.4,"2,494",215/55R17,전륜구동,2011-12-29,
토요타,"Camry Hybrid(2,494 cc)",17.5,"2,494",215/55R17,전륜구동,2011-12-29,
토요타,"Camry Hybrid(2,494 cc)",15.4,"2,494",215/55R17,전륜구동,2011-12-29,
토요타,"Camry Hybrid(2,494 cc)",15.1,"2,494",215/55R17,전륜구동,2011-12-29,
토요타,Camry Hybrid LE,18.1,"2,487",215/55R17,전륜구동,2023-03-13,
토요타,"PRIUS V(1,798 cc)",17.9,"1,798",205/60R16,전륜구동,2015-03-26,
토요타,"PRIUS V(1,798 cc)",17.4,"1,798",205/60R16,전륜구동,2015-03-26,
토요타,"RAV4 Hybrid(2,487 cc)",15.9,"2,487",225/65R17,전륜구동,2019-04-23,
토요타,"RAV4 Hybrid(2,487 cc)",15.7,"2,487",225/60R18,전륜구동,2019-04-23,
토요타,"RAV4 Hybrid(2,487 cc)",15.5,"2,487",225/60R18,4륜구동(상시),2019-04-23,
토요타,"RAV4 Hybrid(2,487 cc)",15.5,"2,487",225/60R18,전륜구동,2022-03-07,
토요타,"RAV4 Hybrid(2,487 cc)",15.2,"2,487",225/60R18,4륜구동(상시),2022-03-07,
토요타,RAV4 Hybrid 2WD,16.1,"2,487",225/60R18,전륜구동,2023-01-06,
토요타,RAV4 Hybrid 2WD,14.5,2487,225/60R18,전륜구동,2025-02-25,
토요타,RAV4 Hybrid AWD,15.1,2487,225/60R18,4륜구동(상시),2023-01-06,
토요타,RAV4 Hybrid AWD,14.1,2487,225/60R18,4륜구동(상시),2025-02-25,
토요타,"Prius C(1,497 cc)",18.6,"1,497",175/65R15,전륜구동,2018-03-07,
토요타,"Avalon Hybrid(2,487 cc)",16.6,"2,487",235/45R18,전륜구동,2018-11-09,
토요타,"Avalon Hybrid(2,487 cc)",17.0,"2,487",235/45R18,전륜구동,2018-11-09,
토요타,Sienna Hybrid 2WD,14.5,"2,487",235/50R20,전륜구동,2021-03-25,
토요타,Crown Hybrid,17.2,"2,487",225/45R21,4륜구동,2023-05-30,
토요타,Highlander Hybrid,13.8,"2,487",235/55R20,4륜구동,2023-06-27,
한국GM,"말리부 1.8 하이브리드(1,796 cc)",17.1,"1,796",225/55R17,전륜구동,2018-12-03,
포드,"Fusion Hybrid(2,488 cc)",15.7,"2,488",225/50R17,전륜구동,2012-01-19,
포드,"Fusion Hybrid(1,999 cc)",19.4,"1,999",235/45R18,전륜구동,2014-08-21,
포드,"Fusion Hybrid(1,999 cc)",17.9,"1,999",235/45R18,전륜구동,2014-08-21,
포드,"Lincoln MKZ Hybrid(1,999 cc)",18.0,"1,999",245/45R18,전륜구동,2014-03-28,
포드,"Lincoln MKZ Hybrid(1,999 cc)",16.3,"1,999",245/45R18,전륜구동,2014-03-28,
포드,"Lincoln MKZ Hybrid(1,999 cc)",15.8,"1,999",245/40R19,전륜구동,2014-03-28,
르노코리아,XM3 하이브리드,17.4,"1,598",215/60R17,전륜구동,2022-10-19,
르노코리아,XM3 하이브리드,17.0,"1,598",215/55R18,전륜구동,2022-10-19,
르노코리아,ARKANA 하이브리드,17.4,1598,215/60R17,전륜구동,2024-03-22,
르노코리아,ARKANA 하이브리드,17.0,1598,215/55R18,전륜구동,2024-03-22,
르노코리아,콜레오스 하이브리드,15.0,1499,235/50R19,전륜구동,2024-08-09,
르노코리아,콜레오스 하이브리드,15.0,1499,245/45R20,전륜구동,2024-08-09,
르노코리아,콜레오스 하이브리드,15.7,1499,235/50R19,전륜구동,2024-09-13,
케이지모빌리티,토레스 하이브리드,15.3,1498,225/60R17,전륜구동,2025-03-13,
케이지모빌리티,토레스 하이브리드,15.7,1498,225/60R18,전륜구동,2025-03-13,
케이지모빌리티,토레스 하이브리드,15.2,1498,245/45R20,전륜구동,2025-03-13,
케이지모빌리티,액티언 하이브리드,14.9,1498,245/45R/20,전륜구동(2륜구동),2025-06-04,
케이지모빌리티,액티언 하이브리드,15.0,1498,245/45R/20,전륜구동(2륜구동),2025-06-04,
Lexus,"RX450h(3,456 cc)",12.1,"3,456",235/55R19,사륜구동,2009-06-09,2021-07-01
Lexus,"RX450h(3,456 cc)",12.8,"3,456",235/65R18,사륜구동,2009-06-29,2021-07-01
Lexus,"RX450h(3,456 cc)",12.3,"3,456",235/R5R20,사륜구동,2020-03-04,2021-07-01
Lexus,"GS450h(3,456 cc)",11.8,"3,456",235/45R18,후륜구동,2012-07-13,2021-07-01
Lexus,"GS450h(3,456 cc)",12.7,"3,456",235/45R18,후륜구동,2012-07-13,2021-07-01
Lexus,"NX300h(2,494 cc)",12.6,2494,225/60R18,사륜구동,2015-12-11,2021-07-01
Lexus,"NX300h(2,494 cc)",12.0,2494,225/60R18,사륜구동,2015-12-11,2021-07-01
토요타,"RAV4 Hybrid(2,494 cc)",13.0,2494,235/55R18,사륜구동,2016-03-31,2021-07-01
토요타,Sienna HYBRID AWD,13.7,2487,235/65R17,사륜구동,2021-03-25,2021-07-01
한국GM,알페온 2.4 하이브리드,12.1,"2,384",215/55R17,전륜구동,2011-10-13,2021-07-01
